paper_name,file_name
"Generation of blood vessel organoids from human pluripotent stem cells","s41596-019-0213-z.pdf"
"Engineering human hepato-biliary-pancreatic organoids from pluripotent stem cells","s41596-020-00441-w.pdf"
"Long-term culture, genetic manipulation and xenotransplantation of human normal and breast cancer organoids","s41596-020-00474-1.pdf"
"Establishment of patient-derived cancer organoids for drug-screening applications","s41596-020-0379-4.pdf"
"Coculture of primary human colon monolayer with human gut bacteria","s41596-021-00562-w.pdf"
"Multiplexed single-cell analysis of organoid signaling networks","s41596-021-00603-4.pdf"
"Generation of heart-forming organoids from human pluripotent stem cells","s41596-021-00629-8.pdf"
"Generation of iPSC-derived human forebrain organoids assembling bilateral eye primordia","s41596-023-00814-x.pdf"
"A distal lung organoid model to study interstitial lung disease, viral infection and human lung development","s41596-023-00827-6.pdf"
"Generation of proximal tubule-enhanced kidney organoids from human pluripotent stem cells","s41596-023-00880-1.pdf"
"Profiling human brain vascular cells using single-cell transcriptomics and organoids","s41596-023-00929-1.pdf"
"Generating and characterizing human telencephalic brain organoids from stem cell-derived single neural rosettes","s41596-025-01197-x.pdf"
"Expansion of human pluripotent stem cell–induced nephron progenitor cells (iNPCs) and the generation of nephron organoids from iNPCs","s41596-025-01236-7.pdf"
"CRISPR screens in human neural organoids and assembloids","s41596-025-01299-6.pdf"
"Single-cell derived tumor organoids display diversity in HLA class I peptide presentation","s41467-020-19142-9.pdf"
"Single-cell transcriptomics captures features of human midbrain development and dopamine neuron diversity in brain organoids","s41467-021-27464-5.pdf"
"A tunable human intestinal organoid system achieves controlled balance between self-renewal and differentiation","s41467-024-55567-2.pdf"
"Dictionary of human intestinal organoid responses to secreted niche factors at single cell resolution","s41467-025-68247-6.pdf"
"s41586-018-0024-3","s41586-018-0024-3.pdf"
"s41586-019-1654-9","s41586-019-1654-9.pdf"
"Single-cell epigenomics reveals mechanisms of human cortical development","s41586-021-03209-8.pdf"
"Single-cell brain organoid screening identifies developmental defects in autism","s41586-023-06473-y.pdf"
"Assembloid CRISPR screens reveal impact of disease genes in human neurodevelopment","s41586-023-06564-w.pdf"
"An integrated transcriptomic cell atlas of human neural organoids","s41586-024-08172-8.pdf"
"Epicardioid single-cell genomics uncovers principles of human epicardium biology in heart development and disease","s41587-023-01718-7.pdf"
"Multimodal spatiotemporal phenotyping of human retinal organoid development","s41587-023-01747-2.pdf"
"Mapping the temporal and spatial dynamics of the human endometrium in vivo and in vitro","s41588-021-00972-2.pdf"
"An integrated transcriptomic cell atlas of human endoderm-derived organoids","s41588-025-02182-6.pdf"
"Single-cell guided prenatal derivation of primary fetal epithelial organoids from human amniotic and tracheal fluids","s41591-024-02807-z.pdf"
"Lineage recording in human cerebral organoids","s41592-021-01344-8.pdf"
"Deterministic scRNA-seq captures variation in intestinal crypt and organoid composition","s41592-021-01391-1.pdf"
"Multiplexing cortical brain organoids for the longitudinal dissection of developmental traits at single-cell resolution","s41592-024-02555-5.pdf"
"Systematic scRNA-seq screens profile neural organoid response to morphogens","s41592-025-02927-5.pdf"
"Human ALS/FTD brain organoid slice cultures display distinct early astrocyte and targetable neuronal pathology","s41593-021-00923-4.pdf"
