model,group,paper,mean_total_score_100,units,failed_units
gpt-oss-120b-medium,nat_protocols,s41596-019-0213-z,69.8,10,0
gpt-oss-120b-medium,nat_protocols,s41596-020-0379-4,60.9,10,0
gpt-oss-120b-medium,nat_protocols,s41596-021-00603-4,56.5,10,0
gpt-oss-120b-medium,nat_protocols,s41596-021-00629-8,60.7,10,0
gpt-oss-120b-medium,nat_protocols,s41596-023-00814-x,59.1,10,0
gpt-oss-120b-medium,nat_protocols,s41596-023-00880-1,55.7,10,0
gpt-oss-120b-medium,nat_protocols,s41596-023-00929-1,54.6,10,0
gpt-oss-120b-medium,nat_protocols,s41596-025-01197-x,49.7,10,0
gpt-oss-120b-medium,nat_protocols,s41596-025-01299-6,60.1,10,0
gpt-oss-120b-medium,nat_siblings,s41467-020-19142-9,65.4,10,0
gpt-oss-120b-medium,nat_siblings,s41467-021-27464-5,64.8,10,0
gpt-oss-120b-medium,nat_siblings,s41467-024-55567-2,59.55555555555556,9,0
gpt-oss-120b-medium,nat_siblings,s41467-025-68247-6,53.7,10,0
gpt-oss-120b-medium,nat_siblings,s41586-018-0024-3,83.0,9,0
gpt-oss-120b-medium,nat_siblings,s41586-019-1654-9,79.875,8,0
gpt-oss-120b-medium,nat_siblings,s41586-021-03209-8,58.2,10,0
gpt-oss-120b-medium,nat_siblings,s41586-023-06473-y,78.9,10,0
gpt-oss-120b-medium,nat_siblings,s41586-023-06564-w,57.6,10,0
gpt-oss-120b-medium,nat_siblings,s41586-024-08172-8,81.4,10,0
gpt-oss-120b-medium,nat_siblings,s41587-023-01718-7,71.8,10,0
gpt-oss-120b-medium,nat_siblings,s41587-023-01747-2,72.2,10,0
gpt-oss-120b-medium,nat_siblings,s41588-021-00972-2,83.0,5,0
gpt-oss-120b-medium,nat_siblings,s41588-025-02182-6,79.7,10,0
gpt-oss-120b-medium,nat_siblings,s41591-024-02807-z,72.2,10,0
gpt-oss-120b-medium,nat_siblings,s41592-021-01344-8,73.1,10,0
gpt-oss-120b-medium,nat_siblings,s41592-021-01391-1,73.9,10,0
gpt-oss-120b-medium,nat_siblings,s41592-024-02555-5,78.9,10,0
gpt-oss-120b-medium,nat_siblings,s41592-025-02927-5,72.0,9,0
gpt-oss-120b-medium,nat_siblings,s41593-021-00923-4,83.0,6,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-019-0213-z,60.4,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-020-0379-4,63.3,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-021-00603-4,58.3,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-021-00629-8,58.5,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-023-00814-x,48.0,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-023-00880-1,67.4,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-023-00929-1,59.1,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-025-01197-x,70.8,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-025-01299-6,54.7,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41467-020-19142-9,65.33333333333333,6,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41467-021-27464-5,65.1,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41467-024-55567-2,71.125,8,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41467-025-68247-6,59.6,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-018-0024-3,83.0,1,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-019-1654-9,83.0,1,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-021-03209-8,65.6,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-023-06473-y,81.3,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-023-06564-w,65.7,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-024-08172-8,82.2,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41587-023-01718-7,80.44444444444444,9,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41587-023-01747-2,79.875,8,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41588-021-00972-2,83.0,8,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41588-025-02182-6,83.0,7,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41591-024-02807-z,83.0,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41592-021-01344-8,83.0,9,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41592-021-01391-1,83.0,8,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41592-024-02555-5,83.0,10,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41592-025-02927-5,83.0,8,0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41593-021-00923-4,83.0,1,0
