model,group,paper,num_units,mean_total_100,mean_repro_100
gpt-oss-120b-medium,nat_protocols,s41596-019-0213-z,10,69.8,12.5
gpt-oss-120b-medium,nat_protocols,s41596-020-0379-4,10,60.9,25.2
gpt-oss-120b-medium,nat_protocols,s41596-021-00603-4,10,56.5,26.0
gpt-oss-120b-medium,nat_protocols,s41596-021-00629-8,10,60.7,28.5
gpt-oss-120b-medium,nat_protocols,s41596-023-00814-x,10,59.1,25.8
gpt-oss-120b-medium,nat_protocols,s41596-023-00880-1,10,55.7,24.8
gpt-oss-120b-medium,nat_protocols,s41596-023-00929-1,10,54.6,30.3
gpt-oss-120b-medium,nat_protocols,s41596-025-01197-x,10,49.7,32.9
gpt-oss-120b-medium,nat_protocols,s41596-025-01299-6,10,60.1,29.0
gpt-oss-120b-medium,nat_siblings,s41467-020-19142-9,10,65.4,19.1
gpt-oss-120b-medium,nat_siblings,s41467-021-27464-5,10,64.8,27.1
gpt-oss-120b-medium,nat_siblings,s41467-024-55567-2,9,59.55555555555556,25.555555555555557
gpt-oss-120b-medium,nat_siblings,s41467-025-68247-6,10,53.7,25.1
gpt-oss-120b-medium,nat_siblings,s41586-018-0024-3,9,83.0,8.0
gpt-oss-120b-medium,nat_siblings,s41586-019-1654-9,8,79.875,8.0
gpt-oss-120b-medium,nat_siblings,s41586-021-03209-8,10,58.2,25.4
gpt-oss-120b-medium,nat_siblings,s41586-023-06473-y,10,78.9,8.9
gpt-oss-120b-medium,nat_siblings,s41586-023-06564-w,10,57.6,23.0
gpt-oss-120b-medium,nat_siblings,s41586-024-08172-8,10,81.4,8.0
gpt-oss-120b-medium,nat_siblings,s41587-023-01718-7,10,71.8,13.9
gpt-oss-120b-medium,nat_siblings,s41587-023-01747-2,10,72.2,10.1
gpt-oss-120b-medium,nat_siblings,s41588-021-00972-2,5,83.0,8.0
gpt-oss-120b-medium,nat_siblings,s41588-025-02182-6,10,79.7,8.5
gpt-oss-120b-medium,nat_siblings,s41591-024-02807-z,10,72.2,11.8
gpt-oss-120b-medium,nat_siblings,s41592-021-01344-8,10,73.1,13.4
gpt-oss-120b-medium,nat_siblings,s41592-021-01391-1,10,73.9,13.1
gpt-oss-120b-medium,nat_siblings,s41592-024-02555-5,10,78.9,11.4
gpt-oss-120b-medium,nat_siblings,s41592-025-02927-5,9,72.0,16.333333333333332
gpt-oss-120b-medium,nat_siblings,s41593-021-00923-4,6,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-019-0213-z,10,60.4,23.6
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-020-0379-4,10,63.3,21.6
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-021-00603-4,10,58.3,20.7
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-021-00629-8,10,58.5,23.9
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-023-00814-x,10,48.0,29.6
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-023-00880-1,10,67.4,24.2
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-023-00929-1,10,59.1,23.8
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-025-01197-x,10,70.8,15.6
qwen3-next-80b-a3b-instruct-fp8,nat_protocols,s41596-025-01299-6,10,54.7,26.6
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41467-020-19142-9,6,65.33333333333333,18.5
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41467-021-27464-5,10,65.1,24.8
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41467-024-55567-2,8,71.125,16.625
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41467-025-68247-6,10,59.6,21.3
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-018-0024-3,1,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-019-1654-9,1,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-021-03209-8,10,65.6,17.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-023-06473-y,10,81.3,10.5
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-023-06564-w,10,65.7,24.7
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41586-024-08172-8,10,82.2,8.5
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41587-023-01718-7,9,80.44444444444444,10.777777777777779
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41587-023-01747-2,8,79.875,8.625
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41588-021-00972-2,8,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41588-025-02182-6,7,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41591-024-02807-z,10,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41592-021-01344-8,9,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41592-021-01391-1,8,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41592-024-02555-5,10,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41592-025-02927-5,8,83.0,8.0
qwen3-next-80b-a3b-instruct-fp8,nat_siblings,s41593-021-00923-4,1,83.0,8.0
