group,paper,gpt-oss-120b-medium-v2_repro,qwen3-next-80b-a3b-instruct-fp8-v2_repro,delta_repro_gpt_minus_qwen,gpt-oss-120b-medium-v2_units,qwen3-next-80b-a3b-instruct-fp8-v2_units,delta_units_gpt_minus_qwen
nat_protocols,s41596-019-0213-z,22.8,26.666666666666668,-3.866666666666667,10,9,1
nat_protocols,s41596-020-00441-w,26.9,29.333333333333332,-2.4333333333333336,10,9,1
nat_protocols,s41596-020-00474-1,23.7,8.5,15.2,10,10,0
nat_protocols,s41596-020-0379-4,25.3,24.9,0.40000000000000213,10,10,0
nat_protocols,s41596-021-00562-w,24.5,24.2,0.3000000000000007,10,10,0
nat_protocols,s41596-021-00603-4,29.1,22.7,6.400000000000002,10,10,0
nat_protocols,s41596-021-00629-8,25.8,23.2,2.6000000000000014,10,10,0
nat_protocols,s41596-023-00814-x,24.1,29.4,-5.299999999999997,10,10,0
nat_protocols,s41596-023-00827-6,25.0,25.0,0.0,10,5,5
nat_protocols,s41596-023-00880-1,30.7,25.4,5.300000000000001,10,10,0
nat_protocols,s41596-023-00929-1,28.8,22.8,6.0,10,10,0
nat_protocols,s41596-025-01197-x,35.0,15.8,19.2,10,10,0
nat_protocols,s41596-025-01236-7,28.4,31.5,-3.1000000000000014,10,10,0
nat_protocols,s41596-025-01299-6,27.7,26.2,1.5,10,10,0
