group,paper,gpt-oss-120b-medium-v2_total,qwen3-next-80b-a3b-instruct-fp8-v2_total,delta_total_gpt_minus_qwen,gpt-oss-120b-medium-v2_repro,qwen3-next-80b-a3b-instruct-fp8-v2_repro,delta_repro_gpt_minus_qwen,gpt-oss-120b-medium-v2_units,qwen3-next-80b-a3b-instruct-fp8-v2_units,delta_units_gpt_minus_qwen
nat_protocols,s41596-019-0213-z,63.1,54.666666666666664,8.433333333333337,22.8,26.666666666666668,-3.866666666666667,10,9,1
nat_protocols,s41596-020-00441-w,53.2,51.55555555555556,1.6444444444444457,26.9,29.333333333333332,-2.4333333333333336,10,9,1
nat_protocols,s41596-020-00474-1,59.8,82.2,-22.400000000000006,23.7,8.5,15.2,10,10,0
nat_protocols,s41596-020-0379-4,60.5,63.5,-3.0,25.3,24.9,0.40000000000000213,10,10,0
nat_protocols,s41596-021-00562-w,54.9,58.0,-3.1000000000000014,24.5,24.2,0.3000000000000007,10,10,0
nat_protocols,s41596-021-00603-4,59.9,57.5,2.3999999999999986,29.1,22.7,6.400000000000002,10,10,0
nat_protocols,s41596-021-00629-8,61.5,55.2,6.299999999999997,25.8,23.2,2.6000000000000014,10,10,0
nat_protocols,s41596-023-00814-x,58.1,49.5,8.600000000000001,24.1,29.4,-5.299999999999997,10,10,0
nat_protocols,s41596-023-00827-6,57.4,53.4,4.0,25.0,25.0,0.0,10,5,5
nat_protocols,s41596-023-00880-1,56.5,67.4,-10.900000000000006,30.7,25.4,5.300000000000001,10,10,0
nat_protocols,s41596-023-00929-1,55.1,60.0,-4.899999999999999,28.8,22.8,6.0,10,10,0
nat_protocols,s41596-025-01197-x,53.8,70.6,-16.799999999999997,35.0,15.8,19.2,10,10,0
nat_protocols,s41596-025-01236-7,59.0,53.6,5.399999999999999,28.4,31.5,-3.1000000000000014,10,10,0
nat_protocols,s41596-025-01299-6,59.0,53.3,5.700000000000003,27.7,26.2,1.5,10,10,0
