model,group,category,n
gpt-oss-120b-medium-v2,nat_protocols,animal_experiment,1
gpt-oss-120b-medium-v2,nat_protocols,cell_culture,81
gpt-oss-120b-medium-v2,nat_protocols,centrifugation,26
gpt-oss-120b-medium-v2,nat_protocols,dna_rna_extraction,5
gpt-oss-120b-medium-v2,nat_protocols,flow_cytometry,7
gpt-oss-120b-medium-v2,nat_protocols,microscopy_imaging,9
gpt-oss-120b-medium-v2,nat_protocols,molecular_cloning,5
gpt-oss-120b-medium-v2,nat_protocols,other,33
gpt-oss-120b-medium-v2,nat_protocols,pcr_qpcr,1
gpt-oss-120b-medium-v2,nat_protocols,purification_cleanup,2
gpt-oss-120b-medium-v2,nat_protocols,sequencing_library_prep,4
gpt-oss-120b-medium-v2,nat_protocols,transfection,1
gpt-oss-120b-medium-v2,nat_siblings,animal_experiment,1
gpt-oss-120b-medium-v2,nat_siblings,cell_culture,20
gpt-oss-120b-medium-v2,nat_siblings,centrifugation,4
gpt-oss-120b-medium-v2,nat_siblings,dna_rna_extraction,9
gpt-oss-120b-medium-v2,nat_siblings,flow_cytometry,4
gpt-oss-120b-medium-v2,nat_siblings,microscopy_imaging,15
gpt-oss-120b-medium-v2,nat_siblings,molecular_cloning,12
gpt-oss-120b-medium-v2,nat_siblings,other,106
gpt-oss-120b-medium-v2,nat_siblings,pcr_qpcr,3
gpt-oss-120b-medium-v2,nat_siblings,purification_cleanup,1
gpt-oss-120b-medium-v2,nat_siblings,sequencing_library_prep,17
gpt-oss-120b-medium-v2,nat_siblings,transfection,2
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,animal_experiment,4
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,cell_culture,85
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,centrifugation,33
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,dna_rna_extraction,9
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,flow_cytometry,7
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,gel_electrophoresis,1
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,microscopy_imaging,20
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,molecular_cloning,9
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,other,27
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,pcr_qpcr,4
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,purification_cleanup,2
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,sequencing_library_prep,5
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,transfection,4
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,animal_experiment,4
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,cell_culture,28
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,centrifugation,9
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,dna_rna_extraction,13
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,flow_cytometry,5
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,gel_electrophoresis,2
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,microscopy_imaging,13
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,molecular_cloning,16
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,other,79
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,pcr_qpcr,7
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,purification_cleanup,6
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,sequencing_library_prep,19
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,transfection,5
