group,paper,gpt-oss-120b-medium-v2_total,qwen3-next-80b-a3b-instruct-fp8-v2_total,delta_total_gpt_minus_qwen,gpt-oss-120b-medium-v2_repro,qwen3-next-80b-a3b-instruct-fp8-v2_repro,delta_repro_gpt_minus_qwen,gpt-oss-120b-medium-v2_units,qwen3-next-80b-a3b-instruct-fp8-v2_units,delta_units_gpt_minus_qwen
nat_protocols,s41596-019-0213-z,63.1,54.666666666666664,8.433333333333337,22.8,26.666666666666668,-3.866666666666667,10,9,1
nat_protocols,s41596-020-00441-w,53.2,51.55555555555556,1.6444444444444457,26.9,29.333333333333332,-2.4333333333333336,10,9,1
nat_protocols,s41596-020-00474-1,59.8,82.2,-22.400000000000006,23.7,8.5,15.2,10,10,0
nat_protocols,s41596-020-0379-4,60.5,63.5,-3.0,25.3,24.9,0.40000000000000213,10,10,0
nat_protocols,s41596-021-00562-w,54.9,58.0,-3.1000000000000014,24.5,24.2,0.3000000000000007,10,10,0
nat_protocols,s41596-021-00603-4,59.9,57.5,2.3999999999999986,29.1,22.7,6.400000000000002,10,10,0
nat_protocols,s41596-021-00629-8,61.5,55.2,6.299999999999997,25.8,23.2,2.6000000000000014,10,10,0
nat_protocols,s41596-023-00814-x,58.1,49.5,8.600000000000001,24.1,29.4,-5.299999999999997,10,10,0
nat_protocols,s41596-023-00827-6,57.4,53.4,4.0,25.0,25.0,0.0,10,5,5
nat_protocols,s41596-023-00880-1,56.5,67.4,-10.900000000000006,30.7,25.4,5.300000000000001,10,10,0
nat_protocols,s41596-023-00929-1,55.1,60.0,-4.899999999999999,28.8,22.8,6.0,10,10,0
nat_protocols,s41596-025-01197-x,53.8,70.6,-16.799999999999997,35.0,15.8,19.2,10,10,0
nat_protocols,s41596-025-01236-7,59.0,53.6,5.399999999999999,28.4,31.5,-3.1000000000000014,10,10,0
nat_protocols,s41596-025-01299-6,59.0,53.3,5.700000000000003,27.7,26.2,1.5,10,10,0
nat_siblings,s41467-020-19142-9,68.55555555555556,65.83333333333333,2.7222222222222285,17.0,19.0,-2.0,9,6,3
nat_siblings,s41467-021-27464-5,64.4,71.2,-6.799999999999997,27.3,22.9,4.400000000000002,10,10,0
nat_siblings,s41467-024-55567-2,54.55555555555556,73.5,-18.944444444444443,29.88888888888889,15.7,14.18888888888889,9,10,-1
nat_siblings,s41467-025-68247-6,52.1,57.8,-5.699999999999996,27.3,23.0,4.300000000000001,10,10,0
nat_siblings,s41586-018-0024-3,83.0,83.0,0.0,8.0,8.0,0.0,9,1,8
nat_siblings,s41586-019-1654-9,66.5,83.0,-16.5,14.5,8.0,6.5,2,1,1
nat_siblings,s41586-021-03209-8,54.9,64.8,-9.899999999999999,24.5,17.0,7.5,10,10,0
nat_siblings,s41586-023-06473-y,82.2,83.0,-0.7999999999999972,8.7,8.0,0.6999999999999993,10,10,0
nat_siblings,s41586-023-06564-w,56.125,62.1,-5.975000000000001,25.875,21.3,4.574999999999999,8,10,-2
nat_siblings,s41586-024-08172-8,82.2,83.0,-0.7999999999999972,8.0,8.0,0.0,10,10,0
nat_siblings,s41587-023-01718-7,71.875,83.0,-11.125,14.875,8.0,6.875,8,10,-2
nat_siblings,s41587-023-01747-2,67.9,80.5,-12.599999999999994,14.5,8.5,6.0,10,10,0
nat_siblings,s41588-021-00972-2,81.0,83.0,-2.0,10.4,8.0,2.4000000000000004,10,8,2
nat_siblings,s41588-025-02182-6,81.0,83.0,-2.0,8.0,8.0,0.0,8,6,2
nat_siblings,s41591-024-02807-z,67.7,83.0,-15.299999999999997,17.9,8.0,9.899999999999999,10,8,2
nat_siblings,s41592-021-01344-8,65.6,79.42857142857143,-13.828571428571436,20.0,10.428571428571429,9.571428571428571,10,7,3
nat_siblings,s41592-021-01391-1,67.0,83.0,-16.0,15.7,8.0,7.699999999999999,10,10,0
nat_siblings,s41592-024-02555-5,77.22222222222223,83.0,-5.7777777777777715,10.666666666666666,8.0,2.666666666666666,9,10,-1
nat_siblings,s41592-025-02927-5,68.85714285714286,83.0,-14.142857142857139,19.857142857142858,8.0,11.857142857142858,7,7,0
nat_siblings,s41593-021-00923-4,83.0,83.0,0.0,8.0,8.0,0.0,6,1,5
