model,group,paper,nodes,material_edges,logical_edges,inter_edges,material_edge_density,logical_edge_density,material_isolated_rate,logical_isolated_rate,combined_isolated_rate,material_pass,logical_pass,combined_pass,mean_total_score_100,mean_repro_score_100,num_units
gpt-oss-120b-medium-v2,nat_protocols,s41596-019-0213-z,10,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,63.1,22.8,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-020-00441-w,10,0,2,0,0.0,0.022222222222222223,1.0,0.7,0.7,False,False,False,53.2,26.9,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-020-00474-1,10,0,3,0,0.0,0.03333333333333333,1.0,0.4,0.4,False,False,False,59.8,23.7,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-020-0379-4,10,0,3,0,0.0,0.03333333333333333,1.0,0.4,0.4,False,False,False,60.5,25.3,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-021-00562-w,10,2,3,2,0.022222222222222223,0.03333333333333333,0.8,0.5,0.5,False,False,False,54.9,24.5,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-021-00603-4,10,4,3,4,0.044444444444444446,0.03333333333333333,0.7,0.6,0.5,False,False,False,59.9,29.1,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-021-00629-8,10,6,1,6,0.06666666666666667,0.011111111111111112,0.7,0.8,0.6,False,False,False,61.5,25.8,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-023-00814-x,10,0,2,0,0.0,0.022222222222222223,1.0,0.6,0.6,False,False,False,58.1,24.1,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-023-00827-6,10,10,0,10,0.1111111111111111,0.0,0.3,1.0,0.3,False,False,False,57.4,25.0,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-023-00880-1,10,9,6,9,0.1,0.06666666666666667,0.6,0.5,0.2,False,False,False,56.5,30.7,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-023-00929-1,10,0,18,0,0.0,0.2,1.0,0.0,0.0,False,True,True,55.1,28.8,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-025-01197-x,10,1,16,1,0.011111111111111112,0.17777777777777778,0.8,0.0,0.0,False,True,True,53.8,35.0,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-025-01236-7,10,6,5,6,0.06666666666666667,0.05555555555555555,0.7,0.3,0.3,False,False,False,59.0,28.4,10.0
gpt-oss-120b-medium-v2,nat_protocols,s41596-025-01299-6,10,0,6,0,0.0,0.06666666666666667,1.0,0.1,0.1,False,False,False,59.0,27.7,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41467-020-19142-9,9,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,68.55555555555556,17.0,9.0
gpt-oss-120b-medium-v2,nat_siblings,s41467-021-27464-5,10,2,4,2,0.022222222222222223,0.044444444444444446,0.8,0.3,0.3,False,False,False,64.4,27.3,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41467-024-55567-2,9,3,4,3,0.041666666666666664,0.05555555555555555,0.667,0.444,0.222,False,False,False,54.55555555555556,29.88888888888889,9.0
gpt-oss-120b-medium-v2,nat_siblings,s41467-025-68247-6,10,6,5,6,0.06666666666666667,0.05555555555555555,0.5,0.2,0.1,False,False,False,52.1,27.3,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41586-018-0024-3,9,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,83.0,8.0,9.0
gpt-oss-120b-medium-v2,nat_siblings,s41586-019-1654-9,2,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,66.5,14.5,2.0
gpt-oss-120b-medium-v2,nat_siblings,s41586-021-03209-8,10,2,2,2,0.022222222222222223,0.022222222222222223,0.6,0.6,0.4,False,False,False,54.9,24.5,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41586-023-06473-y,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,82.2,8.7,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41586-023-06564-w,8,3,3,3,0.05357142857142857,0.05357142857142857,0.625,0.375,0.25,False,False,False,56.125,25.875,8.0
gpt-oss-120b-medium-v2,nat_siblings,s41586-024-08172-8,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,82.2,8.0,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41587-023-01718-7,8,0,3,0,0.0,0.05357142857142857,1.0,0.375,0.375,False,False,False,71.875,14.875,8.0
gpt-oss-120b-medium-v2,nat_siblings,s41587-023-01747-2,10,4,0,4,0.044444444444444446,0.0,0.7,1.0,0.7,False,False,False,67.9,14.5,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41588-021-00972-2,10,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,81.0,10.4,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41588-025-02182-6,8,0,2,0,0.0,0.03571428571428571,1.0,0.625,0.625,False,False,False,81.0,8.0,8.0
gpt-oss-120b-medium-v2,nat_siblings,s41591-024-02807-z,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,67.7,17.9,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41592-021-01344-8,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,65.6,20.0,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41592-021-01391-1,10,0,2,0,0.0,0.022222222222222223,1.0,0.6,0.6,False,False,False,67.0,15.7,10.0
gpt-oss-120b-medium-v2,nat_siblings,s41592-024-02555-5,9,0,2,0,0.0,0.027777777777777776,1.0,0.667,0.667,False,False,False,77.22222222222223,10.666666666666666,9.0
gpt-oss-120b-medium-v2,nat_siblings,s41592-025-02927-5,7,0,1,0,0.0,0.023809523809523808,1.0,0.714,0.714,False,False,False,68.85714285714286,19.857142857142858,7.0
gpt-oss-120b-medium-v2,nat_siblings,s41593-021-00923-4,6,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,83.0,8.0,6.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-019-0213-z,9,4,18,4,0.05555555555555555,0.25,0.667,0.0,0.0,False,True,True,54.666666666666664,26.666666666666668,9.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-020-00441-w,9,7,13,7,0.09722222222222222,0.18055555555555555,0.556,0.0,0.0,False,True,True,51.55555555555556,29.333333333333332,9.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-020-00474-1,10,0,4,0,0.0,0.044444444444444446,1.0,0.4,0.4,False,False,False,82.2,8.5,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-020-0379-4,10,0,5,0,0.0,0.05555555555555555,1.0,0.4,0.4,False,False,False,63.5,24.9,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-021-00562-w,10,2,4,2,0.022222222222222223,0.044444444444444446,0.8,0.3,0.2,False,False,False,58.0,24.2,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-021-00603-4,10,4,3,4,0.044444444444444446,0.03333333333333333,0.7,0.6,0.4,False,False,False,57.5,22.7,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-021-00629-8,10,6,9,6,0.06666666666666667,0.1,0.7,0.1,0.0,False,False,True,55.2,23.2,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-023-00814-x,10,9,17,9,0.1,0.18888888888888888,0.6,0.0,0.0,False,True,True,49.5,29.4,10.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-023-00827-6,5,0,9,0,0.0,0.45,1.0,0.0,0.0,False,True,True,53.4,25.0,5.0
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,s41596-023-00880-1,10,0,6,0,0.0,0.06666666666666667,1.0,0.3,0.3,False,False,False,67.4,25.4,10.0
