group,paper,unit,total_score_100
nat_protocols,s41596-019-0213-z,unit_001,75.000000
nat_protocols,s41596-019-0213-z,unit_002,75.000000
nat_protocols,s41596-019-0213-z,unit_003,75.000000
nat_protocols,s41596-019-0213-z,unit_004,58.000000
nat_protocols,s41596-019-0213-z,unit_005,50.000000
nat_protocols,s41596-019-0213-z,unit_006,58.000000
nat_protocols,s41596-019-0213-z,unit_007,83.000000
nat_protocols,s41596-019-0213-z,unit_008,83.000000
nat_protocols,s41596-019-0213-z,unit_009,83.000000
nat_protocols,s41596-019-0213-z,unit_010,58.000000
nat_protocols,s41596-020-0379-4,unit_001,58.000000
nat_protocols,s41596-020-0379-4,unit_002,50.000000
nat_protocols,s41596-020-0379-4,unit_003,58.000000
nat_protocols,s41596-020-0379-4,unit_004,75.000000
nat_protocols,s41596-020-0379-4,unit_005,60.000000
nat_protocols,s41596-020-0379-4,unit_006,50.000000
nat_protocols,s41596-020-0379-4,unit_007,75.000000
nat_protocols,s41596-020-0379-4,unit_008,58.000000
nat_protocols,s41596-020-0379-4,unit_009,67.000000
nat_protocols,s41596-020-0379-4,unit_010,58.000000
nat_protocols,s41596-021-00603-4,unit_001,58.000000
nat_protocols,s41596-021-00603-4,unit_002,50.000000
nat_protocols,s41596-021-00603-4,unit_003,50.000000
nat_protocols,s41596-021-00603-4,unit_004,50.000000
nat_protocols,s41596-021-00603-4,unit_005,58.000000
nat_protocols,s41596-021-00603-4,unit_006,58.000000
nat_protocols,s41596-021-00603-4,unit_007,58.000000
nat_protocols,s41596-021-00603-4,unit_008,67.000000
nat_protocols,s41596-021-00603-4,unit_009,58.000000
nat_protocols,s41596-021-00603-4,unit_010,58.000000
nat_protocols,s41596-021-00629-8,unit_001,58.000000
nat_protocols,s41596-021-00629-8,unit_002,50.000000
nat_protocols,s41596-021-00629-8,unit_003,75.000000
nat_protocols,s41596-021-00629-8,unit_004,50.000000
nat_protocols,s41596-021-00629-8,unit_005,75.000000
nat_protocols,s41596-021-00629-8,unit_006,58.000000
nat_protocols,s41596-021-00629-8,unit_007,58.000000
nat_protocols,s41596-021-00629-8,unit_008,50.000000
nat_protocols,s41596-021-00629-8,unit_009,75.000000
nat_protocols,s41596-021-00629-8,unit_010,58.000000
nat_protocols,s41596-023-00814-x,unit_001,58.000000
nat_protocols,s41596-023-00814-x,unit_002,50.000000
nat_protocols,s41596-023-00814-x,unit_003,67.000000
nat_protocols,s41596-023-00814-x,unit_004,50.000000
nat_protocols,s41596-023-00814-x,unit_005,75.000000
nat_protocols,s41596-023-00814-x,unit_006,58.000000
nat_protocols,s41596-023-00814-x,unit_007,50.000000
nat_protocols,s41596-023-00814-x,unit_008,58.000000
nat_protocols,s41596-023-00814-x,unit_009,58.000000
nat_protocols,s41596-023-00814-x,unit_010,67.000000
nat_protocols,s41596-023-00880-1,unit_001,58.000000
nat_protocols,s41596-023-00880-1,unit_002,50.000000
nat_protocols,s41596-023-00880-1,unit_003,58.000000
nat_protocols,s41596-023-00880-1,unit_004,50.000000
nat_protocols,s41596-023-00880-1,unit_005,58.000000
nat_protocols,s41596-023-00880-1,unit_006,67.000000
nat_protocols,s41596-023-00880-1,unit_007,58.000000
