group,paper,num_units,mean_total_score_100,median_total_score_100
nat_protocols,s41596-019-0213-z,10,69.800000,75.000000
nat_protocols,s41596-020-0379-4,10,60.900000,58.000000
nat_protocols,s41596-021-00603-4,10,56.500000,58.000000
nat_protocols,s41596-021-00629-8,10,60.700000,58.000000
nat_protocols,s41596-023-00814-x,10,59.100000,58.000000
nat_protocols,s41596-023-00880-1,10,55.700000,58.000000
nat_protocols,s41596-023-00929-1,10,54.600000,54.000000
nat_protocols,s41596-025-01197-x,10,49.700000,50.000000
nat_protocols,s41596-025-01299-6,10,60.100000,58.000000
nat_siblings,s41467-020-19142-9,10,65.400000,66.500000
nat_siblings,s41467-021-27464-5,10,64.800000,62.000000
nat_siblings,s41467-024-55567-2,9,59.555556,50.000000
nat_siblings,s41467-025-68247-6,10,53.700000,50.000000
nat_siblings,s41586-018-0024-3,9,83.000000,83.000000
nat_siblings,s41586-019-1654-9,8,79.875000,83.000000
nat_siblings,s41586-021-03209-8,10,58.200000,58.000000
nat_siblings,s41586-023-06473-y,10,78.900000,83.000000
nat_siblings,s41586-023-06564-w,10,57.600000,58.000000
nat_siblings,s41586-024-08172-8,10,81.400000,83.000000
nat_siblings,s41587-023-01718-7,10,71.800000,75.000000
nat_siblings,s41587-023-01747-2,10,72.200000,83.000000
nat_siblings,s41588-021-00972-2,5,83.000000,83.000000
nat_siblings,s41588-025-02182-6,10,79.700000,83.000000
nat_siblings,s41591-024-02807-z,10,72.200000,83.000000
nat_siblings,s41592-021-01344-8,10,73.100000,79.000000
nat_siblings,s41592-021-01391-1,10,73.900000,83.000000
nat_siblings,s41592-024-02555-5,10,78.900000,83.000000
nat_siblings,s41592-025-02927-5,9,72.000000,83.000000
nat_siblings,s41593-021-00923-4,6,83.000000,83.000000
