group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,cell_culture,54,57.389,25.444,0.407,0.111
nat_protocols,centrifugation,12,50.75,26.5,0.833,0.0
nat_protocols,flow_cytometry,4,57.5,33.25,0.25,0.0
nat_protocols,microscopy_imaging,8,54.0,29.5,0.5,0.125
nat_protocols,molecular_cloning,3,52.667,31.667,0.333,0.0
nat_siblings,cell_culture,25,54.56,25.92,0.44,0.12
nat_siblings,centrifugation,4,53.0,26.75,0.5,0.0
nat_siblings,dna_rna_extraction,9,69.667,13.333,0.111,0.778
nat_siblings,microscopy_imaging,13,66.769,17.846,0.308,0.538
nat_siblings,molecular_cloning,12,71.0,13.0,0.167,0.833
nat_siblings,sequencing_library_prep,17,72.765,14.706,0.059,0.706
