group,paper,num_units,mean_total_score_100,median_total_score_100
nat_protocols,s41596-019-0213-z,10,63.100000,58.000000
nat_protocols,s41596-020-00441-w,10,53.200000,50.000000
nat_protocols,s41596-020-00474-1,10,59.800000,58.000000
nat_protocols,s41596-020-0379-4,10,60.500000,58.000000
nat_protocols,s41596-021-00562-w,10,54.900000,50.000000
nat_protocols,s41596-021-00603-4,10,59.900000,58.000000
nat_protocols,s41596-021-00629-8,10,61.500000,58.000000
nat_protocols,s41596-023-00814-x,10,58.100000,58.000000
nat_protocols,s41596-023-00827-6,10,57.400000,54.000000
nat_protocols,s41596-023-00880-1,10,56.500000,50.000000
nat_protocols,s41596-023-00929-1,10,55.100000,50.000000
nat_protocols,s41596-025-01197-x,10,53.800000,50.000000
nat_protocols,s41596-025-01236-7,10,59.000000,58.000000
nat_protocols,s41596-025-01299-6,10,59.000000,58.000000
nat_siblings,s41467-020-19142-9,9,68.555556,75.000000
nat_siblings,s41467-021-27464-5,10,64.400000,61.000000
nat_siblings,s41467-024-55567-2,9,54.555556,51.000000
nat_siblings,s41467-025-68247-6,10,52.100000,50.000000
nat_siblings,s41586-018-0024-3,9,83.000000,83.000000
nat_siblings,s41586-019-1654-9,2,66.500000,66.500000
nat_siblings,s41586-021-03209-8,10,54.900000,54.000000
nat_siblings,s41586-023-06473-y,10,82.200000,83.000000
nat_siblings,s41586-023-06564-w,8,56.125000,58.000000
nat_siblings,s41586-024-08172-8,10,82.200000,83.000000
nat_siblings,s41587-023-01718-7,8,71.875000,79.000000
nat_siblings,s41587-023-01747-2,10,67.900000,83.000000
nat_siblings,s41588-021-00972-2,10,81.000000,83.000000
nat_siblings,s41588-025-02182-6,8,81.000000,83.000000
nat_siblings,s41591-024-02807-z,10,67.700000,71.000000
nat_siblings,s41592-021-01344-8,10,65.600000,62.000000
nat_siblings,s41592-021-01391-1,10,67.000000,70.500000
nat_siblings,s41592-024-02555-5,9,77.222222,83.000000
nat_siblings,s41592-025-02927-5,7,68.857143,75.000000
nat_siblings,s41593-021-00923-4,6,83.000000,83.000000
