group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,cell_culture,81,56.099,28.21,0.481,0.062
nat_protocols,centrifugation,26,52.0,28.846,0.808,0.0
nat_protocols,dna_rna_extraction,5,64.8,19.8,0.2,0.6
nat_protocols,flow_cytometry,7,56.143,29.0,0.571,0.0
nat_protocols,microscopy_imaging,9,50.444,37.444,0.778,0.0
nat_protocols,molecular_cloning,5,56.8,29.6,0.4,0.2
nat_protocols,sequencing_library_prep,4,64.5,19.5,0.5,0.5
nat_siblings,cell_culture,20,52.2,29.85,0.65,0.0
nat_siblings,centrifugation,4,52.0,31.0,0.75,0.0
nat_siblings,dna_rna_extraction,9,64.444,16.667,0.333,0.556
nat_siblings,flow_cytometry,4,66.75,23.0,0.25,0.5
nat_siblings,microscopy_imaging,15,68.533,18.667,0.267,0.533
nat_siblings,molecular_cloning,12,70.333,17.0,0.083,0.583
nat_siblings,pcr_qpcr,3,58.667,24.333,0.333,0.0
nat_siblings,sequencing_library_prep,17,68.353,19.059,0.235,0.412
