group,paper,num_units,mean_total_score_100,median_total_score_100
nat_protocols,s41596-019-0213-z,10,60.400000,59.500000
nat_protocols,s41596-020-0379-4,10,63.300000,66.500000
nat_protocols,s41596-021-00603-4,10,58.300000,50.000000
nat_protocols,s41596-021-00629-8,10,58.500000,50.000000
nat_protocols,s41596-023-00814-x,10,48.000000,50.000000
nat_protocols,s41596-023-00880-1,10,67.400000,75.000000
nat_protocols,s41596-023-00929-1,10,59.100000,54.000000
nat_protocols,s41596-025-01197-x,10,70.800000,75.000000
nat_protocols,s41596-025-01299-6,10,54.700000,50.000000
nat_siblings,s41467-020-19142-9,6,65.333333,66.500000
nat_siblings,s41467-021-27464-5,10,65.100000,61.500000
nat_siblings,s41467-024-55567-2,8,71.125000,75.000000
nat_siblings,s41467-025-68247-6,10,59.600000,51.500000
nat_siblings,s41586-018-0024-3,1,83.000000,83.000000
nat_siblings,s41586-019-1654-9,1,83.000000,83.000000
nat_siblings,s41586-021-03209-8,10,65.600000,58.000000
nat_siblings,s41586-023-06473-y,10,81.300000,83.000000
nat_siblings,s41586-023-06564-w,10,65.700000,68.500000
nat_siblings,s41586-024-08172-8,10,82.200000,83.000000
nat_siblings,s41587-023-01718-7,9,80.444444,83.000000
nat_siblings,s41587-023-01747-2,8,79.875000,83.000000
nat_siblings,s41588-021-00972-2,8,83.000000,83.000000
nat_siblings,s41588-025-02182-6,7,83.000000,83.000000
nat_siblings,s41591-024-02807-z,10,83.000000,83.000000
nat_siblings,s41592-021-01344-8,9,83.000000,83.000000
nat_siblings,s41592-021-01391-1,8,83.000000,83.000000
nat_siblings,s41592-024-02555-5,10,83.000000,83.000000
nat_siblings,s41592-025-02927-5,8,83.000000,83.000000
nat_siblings,s41593-021-00923-4,1,83.000000,83.000000
