group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,cell_culture,58,55.759,25.672,0.655,0.069
nat_protocols,centrifugation,21,49.238,26.667,0.905,0.0
nat_protocols,dna_rna_extraction,6,58.667,24.167,0.667,0.333
nat_protocols,flow_cytometry,5,58.0,25.6,0.4,0.2
nat_protocols,microscopy_imaging,9,57.667,27.111,0.556,0.222
nat_protocols,sequencing_library_prep,5,54.4,24.8,0.8,0.2
nat_siblings,animal_experiment,4,83.0,8.0,0.0,1.0
nat_siblings,cell_culture,27,67.407,18.778,0.259,0.481
nat_siblings,centrifugation,9,58.556,22.111,0.444,0.222
nat_siblings,dna_rna_extraction,14,72.571,14.143,0.143,0.643
nat_siblings,flow_cytometry,4,78.75,14.25,0.0,0.75
nat_siblings,microscopy_imaging,13,78.0,12.231,0.0,0.846
nat_siblings,molecular_cloning,15,82.467,8.333,0.0,1.0
nat_siblings,pcr_qpcr,6,77.5,11.0,0.167,0.833
nat_siblings,purification_cleanup,5,76.4,11.6,0.2,0.8
nat_siblings,sequencing_library_prep,17,75.647,11.824,0.059,0.706
nat_siblings,transfection,3,79.0,17.333,0.0,0.667
