group,paper,num_units,mean_total_score_100,median_total_score_100
nat_protocols,s41596-019-0213-z,9,54.666667,50.000000
nat_protocols,s41596-020-00441-w,9,51.555556,50.000000
nat_protocols,s41596-020-00474-1,10,82.200000,83.000000
nat_protocols,s41596-020-0379-4,10,63.500000,67.500000
nat_protocols,s41596-021-00562-w,10,58.000000,50.000000
nat_protocols,s41596-021-00603-4,10,57.500000,50.000000
nat_protocols,s41596-021-00629-8,10,55.200000,50.000000
nat_protocols,s41596-023-00814-x,10,49.500000,50.000000
nat_protocols,s41596-023-00827-6,5,53.400000,50.000000
nat_protocols,s41596-023-00880-1,10,67.400000,75.000000
nat_protocols,s41596-023-00929-1,10,60.000000,54.000000
nat_protocols,s41596-025-01197-x,10,70.600000,75.000000
nat_protocols,s41596-025-01236-7,10,53.600000,47.000000
nat_protocols,s41596-025-01299-6,10,53.300000,50.000000
nat_siblings,s41467-020-19142-9,6,65.833333,68.000000
nat_siblings,s41467-021-27464-5,10,71.200000,76.500000
nat_siblings,s41467-024-55567-2,10,73.500000,79.000000
nat_siblings,s41467-025-68247-6,10,57.800000,51.500000
nat_siblings,s41586-018-0024-3,1,83.000000,83.000000
nat_siblings,s41586-019-1654-9,1,83.000000,83.000000
nat_siblings,s41586-021-03209-8,10,64.800000,58.000000
nat_siblings,s41586-023-06473-y,10,83.000000,83.000000
nat_siblings,s41586-023-06564-w,10,62.100000,59.500000
nat_siblings,s41586-024-08172-8,10,83.000000,83.000000
nat_siblings,s41587-023-01718-7,10,83.000000,83.000000
nat_siblings,s41587-023-01747-2,10,80.500000,83.000000
nat_siblings,s41588-021-00972-2,8,83.000000,83.000000
nat_siblings,s41588-025-02182-6,6,83.000000,83.000000
nat_siblings,s41591-024-02807-z,8,83.000000,83.000000
nat_siblings,s41592-021-01344-8,7,79.428571,83.000000
nat_siblings,s41592-021-01391-1,10,83.000000,83.000000
nat_siblings,s41592-024-02555-5,10,83.000000,83.000000
nat_siblings,s41592-025-02927-5,7,83.000000,83.000000
nat_siblings,s41593-021-00923-4,1,83.000000,83.000000
