group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,animal_experiment,4,81.0,12.25,0.0,0.75
nat_protocols,cell_culture,85,55.306,25.835,0.706,0.071
nat_protocols,centrifugation,33,49.788,26.515,0.939,0.0
nat_protocols,dna_rna_extraction,9,55.222,28.444,0.667,0.111
nat_protocols,flow_cytometry,7,50.714,29.571,0.857,0.0
nat_protocols,microscopy_imaging,20,51.3,31.8,0.8,0.0
nat_protocols,molecular_cloning,9,58.222,25.667,0.667,0.111
nat_protocols,pcr_qpcr,4,57.5,26.0,0.75,0.25
nat_protocols,sequencing_library_prep,5,55.4,24.6,0.8,0.2
nat_protocols,transfection,4,74.75,14.25,0.25,0.75
nat_siblings,animal_experiment,4,83.0,8.0,0.0,1.0
nat_siblings,cell_culture,28,68.429,19.321,0.179,0.5
nat_siblings,centrifugation,9,57.778,21.778,0.444,0.222
nat_siblings,dna_rna_extraction,13,69.154,14.615,0.154,0.538
nat_siblings,flow_cytometry,5,78.0,11.4,0.0,0.8
nat_siblings,microscopy_imaging,13,78.077,12.0,0.0,0.846
nat_siblings,molecular_cloning,16,83.0,8.0,0.0,1.0
nat_siblings,pcr_qpcr,7,75.143,12.143,0.143,0.714
nat_siblings,purification_cleanup,6,77.5,10.833,0.167,0.833
nat_siblings,sequencing_library_prep,19,74.421,11.895,0.053,0.632
nat_siblings,transfection,5,79.8,11.4,0.0,0.8
