model,group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
gpt-oss-120b-high-directcore,nat_protocols,cell_culture,78,59.833333333333336,24.871794871794872,0.21794871794871795,0.15384615384615385
gpt-oss-120b-high-directcore,nat_protocols,centrifugation,28,59.214285714285715,20.964285714285715,0.25,0.17857142857142858
gpt-oss-120b-high-directcore,nat_protocols,dna_rna_extraction,6,66.33333333333333,17.166666666666668,0.0,0.5
gpt-oss-120b-high-directcore,nat_protocols,flow_cytometry,7,61.57142857142857,25.428571428571427,0.14285714285714285,0.14285714285714285
gpt-oss-120b-high-directcore,nat_protocols,microscopy_imaging,14,59.714285714285715,29.428571428571427,0.21428571428571427,0.14285714285714285
gpt-oss-120b-high-directcore,nat_protocols,molecular_cloning,7,55.0,30.142857142857142,0.42857142857142855,0.0
gpt-oss-120b-high-directcore,nat_protocols,pcr_qpcr,3,63.666666666666664,20.0,0.3333333333333333,0.3333333333333333
gpt-oss-120b-high-directcore,nat_protocols,sequencing_library_prep,3,66.33333333333333,15.666666666666666,0.0,0.3333333333333333
gpt-oss-120b-high-directcore,nat_siblings,cell_culture,23,58.82608695652174,25.304347826086957,0.34782608695652173,0.043478260869565216
gpt-oss-120b-high-directcore,nat_siblings,centrifugation,5,53.8,28.6,0.6,0.0
gpt-oss-120b-high-directcore,nat_siblings,dna_rna_extraction,10,77.3,12.2,0.0,0.8
gpt-oss-120b-high-directcore,nat_siblings,flow_cytometry,3,74.66666666666667,10.666666666666666,0.0,0.6666666666666666
gpt-oss-120b-high-directcore,nat_siblings,microscopy_imaging,17,68.88235294117646,19.58823529411765,0.058823529411764705,0.4117647058823529
gpt-oss-120b-high-directcore,nat_siblings,molecular_cloning,16,76.3125,11.375,0.0,0.875
gpt-oss-120b-high-directcore,nat_siblings,pcr_qpcr,4,74.25,20.5,0.0,0.5
gpt-oss-120b-high-directcore,nat_siblings,purification_cleanup,4,79.0,13.5,0.0,0.75
gpt-oss-120b-high-directcore,nat_siblings,sequencing_library_prep,19,74.63157894736842,15.947368421052632,0.0,0.5789473684210527
gpt-oss-120b-high-directcore,nat_siblings,transfection,3,58.333333333333336,21.666666666666668,0.3333333333333333,0.3333333333333333
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,animal_experiment,19,63.10526315789474,20.263157894736842,0.3157894736842105,0.3684210526315789
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,cell_culture,91,59.065934065934066,24.043956043956044,0.3956043956043956,0.10989010989010989
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,centrifugation,28,55.107142857142854,26.535714285714285,0.5357142857142857,0.03571428571428571
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,dna_rna_extraction,20,58.95,25.55,0.4,0.15
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,flow_cytometry,11,52.54545454545455,28.363636363636363,0.5454545454545454,0.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,microscopy_imaging,33,58.81818181818182,25.03030303030303,0.42424242424242425,0.18181818181818182
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,molecular_cloning,19,61.89473684210526,22.36842105263158,0.2631578947368421,0.2631578947368421
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,pcr_qpcr,13,61.76923076923077,23.384615384615383,0.38461538461538464,0.3076923076923077
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,purification_cleanup,7,56.142857142857146,26.285714285714285,0.5714285714285714,0.14285714285714285
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,sequencing_library_prep,16,64.75,20.875,0.25,0.375
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,transfection,6,65.66666666666667,19.833333333333332,0.16666666666666666,0.3333333333333333
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,animal_experiment,4,83.0,8.0,0.0,1.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,cell_culture,30,65.63333333333334,22.733333333333334,0.2,0.3
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,centrifugation,9,55.111111111111114,22.444444444444443,0.6666666666666666,0.2222222222222222
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,dna_rna_extraction,15,72.33333333333333,15.066666666666666,0.2,0.6
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,flow_cytometry,5,61.4,19.0,0.4,0.4
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,microscopy_imaging,16,71.3125,15.625,0.1875,0.625
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,molecular_cloning,16,76.75,12.25,0.0625,0.75
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,pcr_qpcr,7,71.42857142857143,16.714285714285715,0.14285714285714285,0.5714285714285714
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,purification_cleanup,6,77.5,13.833333333333334,0.0,0.6666666666666666
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,sequencing_library_prep,20,68.9,16.8,0.15,0.45
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,transfection,5,69.0,22.6,0.2,0.4
