model,group,paper,mean_total_score_100,mean_repro_score_100,num_units,failure_reason
gpt_directcore,nat_protocols,s41596-019-0213-z,66.5,19.3,10,
gpt_directcore,nat_protocols,s41596-020-00441-w,62.4,22.6,10,
gpt_directcore,nat_protocols,s41596-020-00474-1,68.2,18.5,10,
gpt_directcore,nat_protocols,s41596-020-0379-4,57.3,23.1,10,
gpt_directcore,nat_protocols,s41596-021-00562-w,59.0,21.5,10,
gpt_directcore,nat_protocols,s41596-021-00603-4,57.4,28.4,10,
gpt_directcore,nat_protocols,s41596-021-00629-8,59.9,27.4,10,
gpt_directcore,nat_protocols,s41596-023-00814-x,64.0,18.5,10,
gpt_directcore,nat_protocols,s41596-023-00827-6,55.7,26.7,10,
gpt_directcore,nat_protocols,s41596-023-00880-1,55.1,31.3,10,
gpt_directcore,nat_protocols,s41596-023-00929-1,63.0,20.0,10,
gpt_directcore,nat_protocols,s41596-025-01197-x,60.7,19.8,10,
gpt_directcore,nat_protocols,s41596-025-01236-7,58.0,24.0,10,
gpt_directcore,nat_protocols,s41596-025-01299-6,64.0,24.1,10,
gpt_directcore,nat_siblings,s41467-020-19142-9,66.5,17.25,8,
gpt_directcore,nat_siblings,s41467-021-27464-5,67.6,23.3,10,
gpt_directcore,nat_siblings,s41467-024-55567-2,65.2,21.3,10,
gpt_directcore,nat_siblings,s41467-025-68247-6,56.9,22.2,10,
gpt_directcore,nat_siblings,s41586-018-0024-3,83.0,8.0,7,
gpt_directcore,nat_siblings,s41586-019-1654-9,82.2,8.7,10,
gpt_directcore,nat_siblings,s41586-021-03209-8,65.66666666666667,21.555555555555557,9,
gpt_directcore,nat_siblings,s41586-023-06473-y,83.0,8.0,10,
gpt_directcore,nat_siblings,s41586-023-06564-w,65.2,23.6,10,
gpt_directcore,nat_siblings,s41586-024-08172-8,83.0,8.0,10,
gpt_directcore,nat_siblings,s41587-023-01718-7,78.0,12.2,10,
gpt_directcore,nat_siblings,s41587-023-01747-2,80.125,11.0,9,
gpt_directcore,nat_siblings,s41588-021-00972-2,79.66666666666667,11.11111111111111,9,
gpt_directcore,nat_siblings,s41588-025-02182-6,83.0,8.0,10,
gpt_directcore,nat_siblings,s41591-024-02807-z,75.6,14.5,10,
gpt_directcore,nat_siblings,s41592-021-01344-8,71.4,15.3,10,
gpt_directcore,nat_siblings,s41592-021-01391-1,77.3,14.4,10,
gpt_directcore,nat_siblings,s41592-024-02555-5,83.0,8.0,10,
gpt_directcore,nat_siblings,s41592-025-02927-5,75.6,13.6,10,
gpt_directcore,nat_siblings,s41593-021-00923-4,83.0,8.0,5,
qwen_directcore,nat_protocols,s41596-019-0213-z,51.666666666666664,24.11111111111111,9,
qwen_directcore,nat_protocols,s41596-020-00441-w,51.0,28.6,10,
qwen_directcore,nat_protocols,s41596-020-00474-1,80.5,9.9,10,
qwen_directcore,nat_protocols,s41596-020-0379-4,63.7,23.8,10,
qwen_directcore,nat_protocols,s41596-021-00562-w,61.6,20.8,10,
qwen_directcore,nat_protocols,s41596-021-00603-4,58.1,20.5,10,
qwen_directcore,nat_protocols,s41596-021-00629-8,58.1,24.6,10,
qwen_directcore,nat_protocols,s41596-023-00814-x,54.6,28.9,10,
qwen_directcore,nat_protocols,s41596-023-00827-6,56.2,24.8,5,
qwen_directcore,nat_protocols,s41596-023-00880-1,64.9,24.2,10,
qwen_directcore,nat_protocols,s41596-023-00929-1,57.1,19.9,10,
qwen_directcore,nat_protocols,s41596-025-01197-x,71.2,15.7,10,
qwen_directcore,nat_protocols,s41596-025-01236-7,67.6,21.5,10,
qwen_directcore,nat_protocols,s41596-025-01299-6,63.1,24.4,10,
qwen_directcore,nat_siblings,s41467-020-19142-9,64.16666666666667,25.166666666666668,6,
qwen_directcore,nat_siblings,s41467-021-27464-5,65.3,28.6,10,
qwen_directcore,nat_siblings,s41467-024-55567-2,55.6,25.0,10,
qwen_directcore,nat_siblings,s41467-025-68247-6,46.7,28.2,10,
qwen_directcore,nat_siblings,s41586-018-0024-3,83.0,8.0,1,
qwen_directcore,nat_siblings,s41586-019-1654-9,83.0,8.0,1,
qwen_directcore,nat_siblings,s41586-021-03209-8,68.4,16.2,10,
qwen_directcore,nat_siblings,s41586-023-06473-y,80.0,9.9,10,
qwen_directcore,nat_siblings,s41586-023-06564-w,59.8,26.3,10,
qwen_directcore,nat_siblings,s41586-024-08172-8,76.5,12.1,10,
qwen_directcore,nat_siblings,s41587-023-01718-7,75.5,11.3,10,
qwen_directcore,nat_siblings,s41587-023-01747-2,76.375,11.375,8,
qwen_directcore,nat_siblings,s41588-021-00972-2,83.0,8.0,10,
qwen_directcore,nat_siblings,s41588-025-02182-6,83.0,8.0,7,
qwen_directcore,nat_siblings,s41591-024-02807-z,78.9,9.7,10,
qwen_directcore,nat_siblings,s41592-021-01344-8,62.714285714285715,17.714285714285715,7,
qwen_directcore,nat_siblings,s41592-021-01391-1,81.4,10.1,10,
qwen_directcore,nat_siblings,s41592-024-02555-5,83.0,9.3,10,
qwen_directcore,nat_siblings,s41592-025-02927-5,76.75,14.125,8,
qwen_directcore,nat_siblings,s41593-021-00923-4,83.0,8.0,1,
