model,group,category,n
gpt-oss-120b-high-hlcore,nat_protocols,animal_experiment,3
gpt-oss-120b-high-hlcore,nat_protocols,cell_culture,81
gpt-oss-120b-high-hlcore,nat_protocols,centrifugation,31
gpt-oss-120b-high-hlcore,nat_protocols,dna_rna_extraction,8
gpt-oss-120b-high-hlcore,nat_protocols,flow_cytometry,8
gpt-oss-120b-high-hlcore,nat_protocols,microscopy_imaging,13
gpt-oss-120b-high-hlcore,nat_protocols,molecular_cloning,5
gpt-oss-120b-high-hlcore,nat_protocols,other,28
gpt-oss-120b-high-hlcore,nat_protocols,pcr_qpcr,1
gpt-oss-120b-high-hlcore,nat_protocols,purification_cleanup,2
gpt-oss-120b-high-hlcore,nat_protocols,sequencing_library_prep,5
gpt-oss-120b-high-hlcore,nat_protocols,transfection,3
gpt-oss-120b-high-hlcore,nat_siblings,animal_experiment,1
gpt-oss-120b-high-hlcore,nat_siblings,cell_culture,23
gpt-oss-120b-high-hlcore,nat_siblings,centrifugation,5
gpt-oss-120b-high-hlcore,nat_siblings,dna_rna_extraction,11
gpt-oss-120b-high-hlcore,nat_siblings,flow_cytometry,5
gpt-oss-120b-high-hlcore,nat_siblings,gel_electrophoresis,1
gpt-oss-120b-high-hlcore,nat_siblings,microscopy_imaging,13
gpt-oss-120b-high-hlcore,nat_siblings,molecular_cloning,15
gpt-oss-120b-high-hlcore,nat_siblings,other,107
gpt-oss-120b-high-hlcore,nat_siblings,pcr_qpcr,4
gpt-oss-120b-high-hlcore,nat_siblings,purification_cleanup,3
gpt-oss-120b-high-hlcore,nat_siblings,sequencing_library_prep,18
gpt-oss-120b-high-hlcore,nat_siblings,transfection,4
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,animal_experiment,19
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,cell_culture,91
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,centrifugation,29
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,dna_rna_extraction,21
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,flow_cytometry,11
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,gel_electrophoresis,1
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,microscopy_imaging,33
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,molecular_cloning,19
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,other,23
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,pcr_qpcr,14
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,purification_cleanup,7
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,sequencing_library_prep,16
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,transfection,5
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,animal_experiment,4
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,cell_culture,26
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,centrifugation,9
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,dna_rna_extraction,14
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,flow_cytometry,4
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,gel_electrophoresis,2
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,microscopy_imaging,14
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,molecular_cloning,17
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,other,79
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,pcr_qpcr,7
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,purification_cleanup,5
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,sequencing_library_prep,21
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,transfection,5
