model,group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
gpt-oss-120b-high-hlcore,nat_protocols,animal_experiment,3,61.0,13.666666666666666,0.0,0.6666666666666666
gpt-oss-120b-high-hlcore,nat_protocols,cell_culture,81,54.17283950617284,29.061728395061728,0.5308641975308642,0.06172839506172839
gpt-oss-120b-high-hlcore,nat_protocols,centrifugation,31,50.96774193548387,29.548387096774192,0.8387096774193549,0.0
gpt-oss-120b-high-hlcore,nat_protocols,dna_rna_extraction,8,57.625,21.0,0.25,0.375
gpt-oss-120b-high-hlcore,nat_protocols,flow_cytometry,8,55.125,25.25,0.5,0.125
gpt-oss-120b-high-hlcore,nat_protocols,microscopy_imaging,13,51.76923076923077,33.46153846153846,0.6923076923076923,0.0
gpt-oss-120b-high-hlcore,nat_protocols,molecular_cloning,5,58.2,24.0,0.2,0.2
gpt-oss-120b-high-hlcore,nat_protocols,sequencing_library_prep,5,54.8,23.6,0.6,0.4
gpt-oss-120b-high-hlcore,nat_protocols,transfection,3,61.333333333333336,13.333333333333334,0.3333333333333333,0.6666666666666666
gpt-oss-120b-high-hlcore,nat_siblings,cell_culture,23,53.04347826086956,28.782608695652176,0.5217391304347826,0.08695652173913043
gpt-oss-120b-high-hlcore,nat_siblings,centrifugation,5,52.4,23.6,0.6,0.2
gpt-oss-120b-high-hlcore,nat_siblings,dna_rna_extraction,11,61.72727272727273,18.181818181818183,0.18181818181818182,0.5454545454545454
gpt-oss-120b-high-hlcore,nat_siblings,flow_cytometry,5,62.0,16.8,0.0,0.6
gpt-oss-120b-high-hlcore,nat_siblings,microscopy_imaging,13,55.23076923076923,23.307692307692307,0.46153846153846156,0.46153846153846156
gpt-oss-120b-high-hlcore,nat_siblings,molecular_cloning,15,61.6,14.6,0.13333333333333333,0.7333333333333333
gpt-oss-120b-high-hlcore,nat_siblings,pcr_qpcr,4,53.25,21.0,0.5,0.25
gpt-oss-120b-high-hlcore,nat_siblings,purification_cleanup,3,64.0,11.333333333333334,0.0,0.6666666666666666
gpt-oss-120b-high-hlcore,nat_siblings,sequencing_library_prep,18,58.888888888888886,14.444444444444445,0.2222222222222222,0.6666666666666666
gpt-oss-120b-high-hlcore,nat_siblings,transfection,4,60.0,25.75,0.25,0.25
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,animal_experiment,19,59.526315789473685,17.05263157894737,0.3684210526315789,0.5789473684210527
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,cell_culture,91,55.46153846153846,23.164835164835164,0.5274725274725275,0.21978021978021978
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,centrifugation,29,53.172413793103445,26.655172413793103,0.6896551724137931,0.06896551724137931
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,dna_rna_extraction,21,54.95238095238095,22.904761904761905,0.5238095238095238,0.3333333333333333
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,flow_cytometry,11,55.63636363636363,23.09090909090909,0.36363636363636365,0.2727272727272727
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,microscopy_imaging,33,55.24242424242424,24.484848484848484,0.5454545454545454,0.2727272727272727
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,molecular_cloning,19,58.10526315789474,20.157894736842106,0.3684210526315789,0.47368421052631576
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,pcr_qpcr,14,56.57142857142857,21.5,0.42857142857142855,0.42857142857142855
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,purification_cleanup,7,55.142857142857146,22.285714285714285,0.5714285714285714,0.42857142857142855
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,sequencing_library_prep,16,59.875,17.75,0.25,0.5625
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,transfection,5,59.4,20.0,0.2,0.4
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,animal_experiment,4,67.0,8.0,0.0,1.0
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,cell_culture,26,59.34615384615385,19.384615384615383,0.2692307692307692,0.4230769230769231
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,centrifugation,9,56.77777777777778,21.555555555555557,0.4444444444444444,0.2222222222222222
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,dna_rna_extraction,14,61.57142857142857,13.5,0.21428571428571427,0.6428571428571429
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,flow_cytometry,4,62.5,17.5,0.0,0.5
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,microscopy_imaging,14,63.142857142857146,15.0,0.0,0.6428571428571429
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,molecular_cloning,17,66.41176470588235,10.176470588235293,0.0,0.8823529411764706
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,pcr_qpcr,7,63.714285714285715,12.142857142857142,0.14285714285714285,0.7142857142857143
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,purification_cleanup,5,63.6,11.4,0.2,0.8
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,sequencing_library_prep,21,63.76190476190476,12.380952380952381,0.047619047619047616,0.6666666666666666
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,transfection,5,65.8,21.8,0.0,0.2
