model,group,paper,mean_total_score_100,mean_repro_score_100,num_units,failure_reason
gpt_hlcore,nat_protocols,s41596-019-0213-z,58.4,17.0,10,
gpt_hlcore,nat_protocols,s41596-020-00441-w,55.7,25.1,10,
gpt_hlcore,nat_protocols,s41596-020-00474-1,62.7,16.5,10,
gpt_hlcore,nat_protocols,s41596-020-0379-4,55.6,24.3,10,
gpt_hlcore,nat_protocols,s41596-021-00562-w,54.0,27.1,10,
gpt_hlcore,nat_protocols,s41596-021-00603-4,59.9,28.5,10,
gpt_hlcore,nat_protocols,s41596-021-00629-8,58.3,20.5,10,
gpt_hlcore,nat_protocols,s41596-023-00814-x,52.5,33.3,10,
gpt_hlcore,nat_protocols,s41596-023-00827-6,53.2,24.2,10,
gpt_hlcore,nat_protocols,s41596-023-00880-1,54.8,27.0,10,
gpt_hlcore,nat_protocols,s41596-023-00929-1,54.0,25.8,10,
gpt_hlcore,nat_protocols,s41596-025-01197-x,50.2,36.1,10,
gpt_hlcore,nat_protocols,s41596-025-01236-7,53.7,31.4,10,
gpt_hlcore,nat_protocols,s41596-025-01299-6,52.6,29.9,10,
gpt_hlcore,nat_siblings,s41467-020-19142-9,60.625,21.0,8,
gpt_hlcore,nat_siblings,s41467-021-27464-5,60.3,28.8,10,
gpt_hlcore,nat_siblings,s41467-024-55567-2,53.44444444444444,24.22222222222222,9,
gpt_hlcore,nat_siblings,s41467-025-68247-6,52.4,28.0,10,
gpt_hlcore,nat_siblings,s41586-018-0024-3,67.0,8.0,4,
gpt_hlcore,nat_siblings,s41586-019-1654-9,63.57142857142857,11.714285714285714,7,
gpt_hlcore,nat_siblings,s41586-021-03209-8,59.0,20.8,10,
gpt_hlcore,nat_siblings,s41586-023-06473-y,64.3,8.0,10,
gpt_hlcore,nat_siblings,s41586-023-06564-w,55.22222222222222,26.0,9,
gpt_hlcore,nat_siblings,s41586-024-08172-8,65.2,8.5,10,
gpt_hlcore,nat_siblings,s41587-023-01718-7,58.7,15.4,10,
gpt_hlcore,nat_siblings,s41587-023-01747-2,59.8,13.6,10,
gpt_hlcore,nat_siblings,s41588-021-00972-2,67.0,8.0,10,
gpt_hlcore,nat_siblings,s41588-025-02182-6,67.0,8.0,9,
gpt_hlcore,nat_siblings,s41591-024-02807-z,55.3,21.0,10,
gpt_hlcore,nat_siblings,s41592-021-01344-8,59.22222222222222,17.666666666666668,9,
gpt_hlcore,nat_siblings,s41592-021-01391-1,59.6,15.4,10,
gpt_hlcore,nat_siblings,s41592-024-02555-5,67.0,8.0,10,
gpt_hlcore,nat_siblings,s41592-025-02927-5,59.333333333333336,17.333333333333332,9,
gpt_hlcore,nat_siblings,s41593-021-00923-4,67.0,8.0,8,
qwen_hlcore,nat_protocols,s41596-019-0213-z,53.22222222222222,25.0,9,
qwen_hlcore,nat_protocols,s41596-020-00441-w,50.333333333333336,30.0,9,
qwen_hlcore,nat_protocols,s41596-020-00474-1,63.5,12.1,10,
qwen_hlcore,nat_protocols,s41596-020-0379-4,53.6,24.7,10,
qwen_hlcore,nat_protocols,s41596-021-00562-w,55.7,22.9,10,
qwen_hlcore,nat_protocols,s41596-021-00603-4,53.3,21.1,10,
qwen_hlcore,nat_protocols,s41596-021-00629-8,56.2,20.8,10,
qwen_hlcore,nat_protocols,s41596-023-00814-x,51.6,28.4,10,
qwen_hlcore,nat_protocols,s41596-023-00827-6,52.4,25.4,5,
qwen_hlcore,nat_protocols,s41596-023-00880-1,64.5,17.4,10,
qwen_hlcore,nat_protocols,s41596-023-00929-1,54.8,22.5,10,
qwen_hlcore,nat_protocols,s41596-025-01197-x,62.0,14.5,10,
qwen_hlcore,nat_protocols,s41596-025-01236-7,60.4,19.8,10,
qwen_hlcore,nat_protocols,s41596-025-01299-6,62.5,17.6,10,
qwen_hlcore,nat_siblings,s41467-020-19142-9,57.0,18.333333333333332,6,
qwen_hlcore,nat_siblings,s41467-021-27464-5,60.6,24.2,10,
qwen_hlcore,nat_siblings,s41467-024-55567-2,62.9,17.6,10,
qwen_hlcore,nat_siblings,s41467-025-68247-6,51.5,24.3,10,
qwen_hlcore,nat_siblings,s41586-018-0024-3,67.0,8.0,1,
qwen_hlcore,nat_siblings,s41586-019-1654-9,67.0,8.0,1,
qwen_hlcore,nat_siblings,s41586-021-03209-8,60.1,15.6,10,
qwen_hlcore,nat_siblings,s41586-023-06473-y,66.1,10.1,10,
qwen_hlcore,nat_siblings,s41586-023-06564-w,58.44444444444444,23.444444444444443,10,
qwen_hlcore,nat_siblings,s41586-024-08172-8,66.1,8.5,10,
qwen_hlcore,nat_siblings,s41587-023-01718-7,67.0,8.0,10,
qwen_hlcore,nat_siblings,s41587-023-01747-2,64.75,11.25,8,
qwen_hlcore,nat_siblings,s41588-021-00972-2,67.0,8.0,10,
qwen_hlcore,nat_siblings,s41588-025-02182-6,67.0,8.0,7,
qwen_hlcore,nat_siblings,s41591-024-02807-z,67.0,8.0,9,
qwen_hlcore,nat_siblings,s41592-021-01344-8,64.75,11.25,8,
qwen_hlcore,nat_siblings,s41592-021-01391-1,66.1,10.5,10,
qwen_hlcore,nat_siblings,s41592-024-02555-5,67.0,8.0,8,
qwen_hlcore,nat_siblings,s41592-025-02927-5,67.0,8.0,7,
qwen_hlcore,nat_siblings,s41593-021-00923-4,67.0,8.0,1,
