group,paper,gpt_hlcore_total,qwen_hlcore_total,delta_total_a_minus_b,gpt_hlcore_repro,qwen_hlcore_repro,delta_repro_a_minus_b,gpt_hlcore_units,qwen_hlcore_units,delta_units_a_minus_b
nat_protocols,s41596-019-0213-z,58.4,53.22222222222222,5.177777777777777,17.0,25.0,-8.0,10,9,1
nat_protocols,s41596-020-00441-w,55.7,50.333333333333336,5.366666666666667,25.1,30.0,-4.899999999999999,10,9,1
nat_protocols,s41596-020-00474-1,62.7,63.5,-0.7999999999999972,16.5,12.1,4.4,10,10,0
nat_protocols,s41596-020-0379-4,55.6,53.6,2.0,24.3,24.7,-0.3999999999999986,10,10,0
nat_protocols,s41596-021-00562-w,54.0,55.7,-1.7000000000000028,27.1,22.9,4.200000000000003,10,10,0
nat_protocols,s41596-021-00603-4,59.9,53.3,6.600000000000001,28.5,21.1,7.399999999999999,10,10,0
nat_protocols,s41596-021-00629-8,58.3,56.2,2.0999999999999943,20.5,20.8,-0.3000000000000007,10,10,0
nat_protocols,s41596-023-00814-x,52.5,51.6,0.8999999999999986,33.3,28.4,4.899999999999999,10,10,0
nat_protocols,s41596-023-00827-6,53.2,52.4,0.8000000000000043,24.2,25.4,-1.1999999999999993,10,5,5
nat_protocols,s41596-023-00880-1,54.8,64.5,-9.700000000000003,27.0,17.4,9.600000000000001,10,10,0
nat_protocols,s41596-023-00929-1,54.0,54.8,-0.7999999999999972,25.8,22.5,3.3000000000000007,10,10,0
nat_protocols,s41596-025-01197-x,50.2,62.0,-11.799999999999997,36.1,14.5,21.6,10,10,0
nat_protocols,s41596-025-01236-7,53.7,60.4,-6.699999999999996,31.4,19.8,11.599999999999998,10,10,0
nat_protocols,s41596-025-01299-6,52.6,62.5,-9.899999999999999,29.9,17.6,12.299999999999997,10,10,0
nat_siblings,s41467-020-19142-9,60.625,57.0,3.625,21.0,18.333333333333332,2.666666666666668,8,6,2
nat_siblings,s41467-021-27464-5,60.3,60.6,-0.30000000000000426,28.8,24.2,4.600000000000001,10,10,0
nat_siblings,s41467-024-55567-2,53.44444444444444,62.9,-9.455555555555556,24.22222222222222,17.6,6.62222222222222,9,10,-1
nat_siblings,s41467-025-68247-6,52.4,51.5,0.8999999999999986,28.0,24.3,3.6999999999999993,10,10,0
nat_siblings,s41586-018-0024-3,67.0,67.0,0.0,8.0,8.0,0.0,4,1,3
nat_siblings,s41586-019-1654-9,63.57142857142857,67.0,-3.4285714285714306,11.714285714285714,8.0,3.7142857142857135,7,1,6
nat_siblings,s41586-021-03209-8,59.0,60.1,-1.1000000000000014,20.8,15.6,5.200000000000001,10,10,0
nat_siblings,s41586-023-06473-y,64.3,66.1,-1.7999999999999972,8.0,10.1,-2.0999999999999996,10,10,0
nat_siblings,s41586-023-06564-w,55.22222222222222,58.44444444444444,-3.2222222222222214,26.0,23.444444444444443,2.555555555555557,9,10,-1
nat_siblings,s41586-024-08172-8,65.2,66.1,-0.8999999999999915,8.5,8.5,0.0,10,10,0
nat_siblings,s41587-023-01718-7,58.7,67.0,-8.299999999999997,15.4,8.0,7.4,10,10,0
nat_siblings,s41587-023-01747-2,59.8,64.75,-4.950000000000003,13.6,11.25,2.3499999999999996,10,8,2
nat_siblings,s41588-021-00972-2,67.0,67.0,0.0,8.0,8.0,0.0,10,10,0
nat_siblings,s41588-025-02182-6,67.0,67.0,0.0,8.0,8.0,0.0,9,7,2
nat_siblings,s41591-024-02807-z,55.3,67.0,-11.700000000000003,21.0,8.0,13.0,10,9,1
nat_siblings,s41592-021-01344-8,59.22222222222222,64.75,-5.527777777777779,17.666666666666668,11.25,6.416666666666668,9,8,1
nat_siblings,s41592-021-01391-1,59.6,66.1,-6.499999999999993,15.4,10.5,4.9,10,10,0
nat_siblings,s41592-024-02555-5,67.0,67.0,0.0,8.0,8.0,0.0,10,8,2
nat_siblings,s41592-025-02927-5,59.333333333333336,67.0,-7.666666666666664,17.333333333333332,8.0,9.333333333333332,9,7,2
nat_siblings,s41593-021-00923-4,67.0,67.0,0.0,8.0,8.0,0.0,8,1,7
