model,group,category,n
gpt-oss-120b-high-hlcore,nat_protocols,animal_experiment,3
gpt-oss-120b-high-hlcore,nat_protocols,cell_culture,81
gpt-oss-120b-high-hlcore,nat_protocols,centrifugation,31
gpt-oss-120b-high-hlcore,nat_protocols,dna_rna_extraction,8
gpt-oss-120b-high-hlcore,nat_protocols,flow_cytometry,8
gpt-oss-120b-high-hlcore,nat_protocols,microscopy_imaging,13
gpt-oss-120b-high-hlcore,nat_protocols,molecular_cloning,5
gpt-oss-120b-high-hlcore,nat_protocols,other,28
gpt-oss-120b-high-hlcore,nat_protocols,pcr_qpcr,1
gpt-oss-120b-high-hlcore,nat_protocols,purification_cleanup,2
gpt-oss-120b-high-hlcore,nat_protocols,sequencing_library_prep,5
gpt-oss-120b-high-hlcore,nat_protocols,transfection,3
gpt-oss-120b-high-hlcore,nat_siblings,animal_experiment,1
gpt-oss-120b-high-hlcore,nat_siblings,cell_culture,23
gpt-oss-120b-high-hlcore,nat_siblings,centrifugation,5
gpt-oss-120b-high-hlcore,nat_siblings,dna_rna_extraction,11
gpt-oss-120b-high-hlcore,nat_siblings,flow_cytometry,5
gpt-oss-120b-high-hlcore,nat_siblings,gel_electrophoresis,1
gpt-oss-120b-high-hlcore,nat_siblings,microscopy_imaging,13
gpt-oss-120b-high-hlcore,nat_siblings,molecular_cloning,15
gpt-oss-120b-high-hlcore,nat_siblings,other,107
gpt-oss-120b-high-hlcore,nat_siblings,pcr_qpcr,4
gpt-oss-120b-high-hlcore,nat_siblings,purification_cleanup,3
gpt-oss-120b-high-hlcore,nat_siblings,sequencing_library_prep,18
gpt-oss-120b-high-hlcore,nat_siblings,transfection,4
gpt-oss-120b-high-directcore,nat_protocols,animal_experiment,1
gpt-oss-120b-high-directcore,nat_protocols,cell_culture,78
gpt-oss-120b-high-directcore,nat_protocols,centrifugation,28
gpt-oss-120b-high-directcore,nat_protocols,dna_rna_extraction,6
gpt-oss-120b-high-directcore,nat_protocols,flow_cytometry,7
gpt-oss-120b-high-directcore,nat_protocols,microscopy_imaging,14
gpt-oss-120b-high-directcore,nat_protocols,molecular_cloning,7
gpt-oss-120b-high-directcore,nat_protocols,other,38
gpt-oss-120b-high-directcore,nat_protocols,pcr_qpcr,3
gpt-oss-120b-high-directcore,nat_protocols,purification_cleanup,2
gpt-oss-120b-high-directcore,nat_protocols,sequencing_library_prep,3
gpt-oss-120b-high-directcore,nat_siblings,animal_experiment,1
gpt-oss-120b-high-directcore,nat_siblings,cell_culture,23
gpt-oss-120b-high-directcore,nat_siblings,centrifugation,5
gpt-oss-120b-high-directcore,nat_siblings,dna_rna_extraction,10
gpt-oss-120b-high-directcore,nat_siblings,flow_cytometry,3
gpt-oss-120b-high-directcore,nat_siblings,microscopy_imaging,17
gpt-oss-120b-high-directcore,nat_siblings,molecular_cloning,16
gpt-oss-120b-high-directcore,nat_siblings,other,106
gpt-oss-120b-high-directcore,nat_siblings,pcr_qpcr,4
gpt-oss-120b-high-directcore,nat_siblings,purification_cleanup,4
gpt-oss-120b-high-directcore,nat_siblings,sequencing_library_prep,19
gpt-oss-120b-high-directcore,nat_siblings,transfection,3
