model,group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
gpt-oss-120b-high-hlcore,nat_protocols,animal_experiment,3,61.0,13.666666666666666,0.0,0.6666666666666666
gpt-oss-120b-high-hlcore,nat_protocols,cell_culture,81,54.17283950617284,29.061728395061728,0.5308641975308642,0.06172839506172839
gpt-oss-120b-high-hlcore,nat_protocols,centrifugation,31,50.96774193548387,29.548387096774192,0.8387096774193549,0.0
gpt-oss-120b-high-hlcore,nat_protocols,dna_rna_extraction,8,57.625,21.0,0.25,0.375
gpt-oss-120b-high-hlcore,nat_protocols,flow_cytometry,8,55.125,25.25,0.5,0.125
gpt-oss-120b-high-hlcore,nat_protocols,microscopy_imaging,13,51.76923076923077,33.46153846153846,0.6923076923076923,0.0
gpt-oss-120b-high-hlcore,nat_protocols,molecular_cloning,5,58.2,24.0,0.2,0.2
gpt-oss-120b-high-hlcore,nat_protocols,sequencing_library_prep,5,54.8,23.6,0.6,0.4
gpt-oss-120b-high-hlcore,nat_protocols,transfection,3,61.333333333333336,13.333333333333334,0.3333333333333333,0.6666666666666666
gpt-oss-120b-high-hlcore,nat_siblings,cell_culture,23,53.04347826086956,28.782608695652176,0.5217391304347826,0.08695652173913043
gpt-oss-120b-high-hlcore,nat_siblings,centrifugation,5,52.4,23.6,0.6,0.2
gpt-oss-120b-high-hlcore,nat_siblings,dna_rna_extraction,11,61.72727272727273,18.181818181818183,0.18181818181818182,0.5454545454545454
gpt-oss-120b-high-hlcore,nat_siblings,flow_cytometry,5,62.0,16.8,0.0,0.6
gpt-oss-120b-high-hlcore,nat_siblings,microscopy_imaging,13,55.23076923076923,23.307692307692307,0.46153846153846156,0.46153846153846156
gpt-oss-120b-high-hlcore,nat_siblings,molecular_cloning,15,61.6,14.6,0.13333333333333333,0.7333333333333333
gpt-oss-120b-high-hlcore,nat_siblings,pcr_qpcr,4,53.25,21.0,0.5,0.25
gpt-oss-120b-high-hlcore,nat_siblings,purification_cleanup,3,64.0,11.333333333333334,0.0,0.6666666666666666
gpt-oss-120b-high-hlcore,nat_siblings,sequencing_library_prep,18,58.888888888888886,14.444444444444445,0.2222222222222222,0.6666666666666666
gpt-oss-120b-high-hlcore,nat_siblings,transfection,4,60.0,25.75,0.25,0.25
gpt-oss-120b-high-directcore,nat_protocols,cell_culture,78,59.833333333333336,24.871794871794872,0.21794871794871795,0.15384615384615385
gpt-oss-120b-high-directcore,nat_protocols,centrifugation,28,59.214285714285715,20.964285714285715,0.25,0.17857142857142858
gpt-oss-120b-high-directcore,nat_protocols,dna_rna_extraction,6,66.33333333333333,17.166666666666668,0.0,0.5
gpt-oss-120b-high-directcore,nat_protocols,flow_cytometry,7,61.57142857142857,25.428571428571427,0.14285714285714285,0.14285714285714285
gpt-oss-120b-high-directcore,nat_protocols,microscopy_imaging,14,59.714285714285715,29.428571428571427,0.21428571428571427,0.14285714285714285
gpt-oss-120b-high-directcore,nat_protocols,molecular_cloning,7,55.0,30.142857142857142,0.42857142857142855,0.0
gpt-oss-120b-high-directcore,nat_protocols,pcr_qpcr,3,63.666666666666664,20.0,0.3333333333333333,0.3333333333333333
gpt-oss-120b-high-directcore,nat_protocols,sequencing_library_prep,3,66.33333333333333,15.666666666666666,0.0,0.3333333333333333
gpt-oss-120b-high-directcore,nat_siblings,cell_culture,23,58.82608695652174,25.304347826086957,0.34782608695652173,0.043478260869565216
gpt-oss-120b-high-directcore,nat_siblings,centrifugation,5,53.8,28.6,0.6,0.0
gpt-oss-120b-high-directcore,nat_siblings,dna_rna_extraction,10,77.3,12.2,0.0,0.8
gpt-oss-120b-high-directcore,nat_siblings,flow_cytometry,3,74.66666666666667,10.666666666666666,0.0,0.6666666666666666
gpt-oss-120b-high-directcore,nat_siblings,microscopy_imaging,17,68.88235294117646,19.58823529411765,0.058823529411764705,0.4117647058823529
gpt-oss-120b-high-directcore,nat_siblings,molecular_cloning,16,76.3125,11.375,0.0,0.875
gpt-oss-120b-high-directcore,nat_siblings,pcr_qpcr,4,74.25,20.5,0.0,0.5
gpt-oss-120b-high-directcore,nat_siblings,purification_cleanup,4,79.0,13.5,0.0,0.75
gpt-oss-120b-high-directcore,nat_siblings,sequencing_library_prep,19,74.63157894736842,15.947368421052632,0.0,0.5789473684210527
gpt-oss-120b-high-directcore,nat_siblings,transfection,3,58.333333333333336,21.666666666666668,0.3333333333333333,0.3333333333333333
