model,group,paper,mean_total_score_100,mean_repro_score_100,num_units,failure_reason
gpt_directcore,nat_protocols,s41596-019-0213-z,66.5,19.3,10,
gpt_directcore,nat_protocols,s41596-020-00441-w,62.4,22.6,10,
gpt_directcore,nat_protocols,s41596-020-00474-1,68.2,18.5,10,
gpt_directcore,nat_protocols,s41596-020-0379-4,57.3,23.1,10,
gpt_directcore,nat_protocols,s41596-021-00562-w,59.0,21.5,10,
gpt_directcore,nat_protocols,s41596-021-00603-4,57.4,28.4,10,
gpt_directcore,nat_protocols,s41596-021-00629-8,59.9,27.4,10,
gpt_directcore,nat_protocols,s41596-023-00814-x,64.0,18.5,10,
gpt_directcore,nat_protocols,s41596-023-00827-6,55.7,26.7,10,
gpt_directcore,nat_protocols,s41596-023-00880-1,55.1,31.3,10,
gpt_directcore,nat_protocols,s41596-023-00929-1,63.0,20.0,10,
gpt_directcore,nat_protocols,s41596-025-01197-x,60.7,19.8,10,
gpt_directcore,nat_protocols,s41596-025-01236-7,58.0,24.0,10,
gpt_directcore,nat_protocols,s41596-025-01299-6,64.0,24.1,10,
gpt_directcore,nat_siblings,s41467-020-19142-9,66.5,17.25,8,
gpt_directcore,nat_siblings,s41467-021-27464-5,67.6,23.3,10,
gpt_directcore,nat_siblings,s41467-024-55567-2,65.2,21.3,10,
gpt_directcore,nat_siblings,s41467-025-68247-6,56.9,22.2,10,
gpt_directcore,nat_siblings,s41586-018-0024-3,83.0,8.0,7,
gpt_directcore,nat_siblings,s41586-019-1654-9,82.2,8.7,10,
gpt_directcore,nat_siblings,s41586-021-03209-8,65.66666666666667,21.555555555555557,9,
gpt_directcore,nat_siblings,s41586-023-06473-y,83.0,8.0,10,
gpt_directcore,nat_siblings,s41586-023-06564-w,65.2,23.6,10,
gpt_directcore,nat_siblings,s41586-024-08172-8,83.0,8.0,10,
gpt_directcore,nat_siblings,s41587-023-01718-7,78.0,12.2,10,
gpt_directcore,nat_siblings,s41587-023-01747-2,80.125,11.0,9,
gpt_directcore,nat_siblings,s41588-021-00972-2,79.66666666666667,11.11111111111111,9,
gpt_directcore,nat_siblings,s41588-025-02182-6,83.0,8.0,10,
gpt_directcore,nat_siblings,s41591-024-02807-z,75.6,14.5,10,
gpt_directcore,nat_siblings,s41592-021-01344-8,71.4,15.3,10,
gpt_directcore,nat_siblings,s41592-021-01391-1,77.3,14.4,10,
gpt_directcore,nat_siblings,s41592-024-02555-5,83.0,8.0,10,
gpt_directcore,nat_siblings,s41592-025-02927-5,75.6,13.6,10,
gpt_directcore,nat_siblings,s41593-021-00923-4,83.0,8.0,5,
gpt_hlcore,nat_protocols,s41596-019-0213-z,58.4,17.0,10,
gpt_hlcore,nat_protocols,s41596-020-00441-w,55.7,25.1,10,
gpt_hlcore,nat_protocols,s41596-020-00474-1,62.7,16.5,10,
gpt_hlcore,nat_protocols,s41596-020-0379-4,55.6,24.3,10,
gpt_hlcore,nat_protocols,s41596-021-00562-w,54.0,27.1,10,
gpt_hlcore,nat_protocols,s41596-021-00603-4,59.9,28.5,10,
gpt_hlcore,nat_protocols,s41596-021-00629-8,58.3,20.5,10,
gpt_hlcore,nat_protocols,s41596-023-00814-x,52.5,33.3,10,
gpt_hlcore,nat_protocols,s41596-023-00827-6,53.2,24.2,10,
gpt_hlcore,nat_protocols,s41596-023-00880-1,54.8,27.0,10,
gpt_hlcore,nat_protocols,s41596-023-00929-1,54.0,25.8,10,
gpt_hlcore,nat_protocols,s41596-025-01197-x,50.2,36.1,10,
gpt_hlcore,nat_protocols,s41596-025-01236-7,53.7,31.4,10,
gpt_hlcore,nat_protocols,s41596-025-01299-6,52.6,29.9,10,
gpt_hlcore,nat_siblings,s41467-020-19142-9,60.625,21.0,8,
gpt_hlcore,nat_siblings,s41467-021-27464-5,60.3,28.8,10,
gpt_hlcore,nat_siblings,s41467-024-55567-2,53.44444444444444,24.22222222222222,9,
gpt_hlcore,nat_siblings,s41467-025-68247-6,52.4,28.0,10,
gpt_hlcore,nat_siblings,s41586-018-0024-3,67.0,8.0,4,
gpt_hlcore,nat_siblings,s41586-019-1654-9,63.57142857142857,11.714285714285714,7,
gpt_hlcore,nat_siblings,s41586-021-03209-8,59.0,20.8,10,
gpt_hlcore,nat_siblings,s41586-023-06473-y,64.3,8.0,10,
gpt_hlcore,nat_siblings,s41586-023-06564-w,55.22222222222222,26.0,9,
gpt_hlcore,nat_siblings,s41586-024-08172-8,65.2,8.5,10,
gpt_hlcore,nat_siblings,s41587-023-01718-7,58.7,15.4,10,
gpt_hlcore,nat_siblings,s41587-023-01747-2,59.8,13.6,10,
gpt_hlcore,nat_siblings,s41588-021-00972-2,67.0,8.0,10,
gpt_hlcore,nat_siblings,s41588-025-02182-6,67.0,8.0,9,
gpt_hlcore,nat_siblings,s41591-024-02807-z,55.3,21.0,10,
gpt_hlcore,nat_siblings,s41592-021-01344-8,59.22222222222222,17.666666666666668,9,
gpt_hlcore,nat_siblings,s41592-021-01391-1,59.6,15.4,10,
gpt_hlcore,nat_siblings,s41592-024-02555-5,67.0,8.0,10,
gpt_hlcore,nat_siblings,s41592-025-02927-5,59.333333333333336,17.333333333333332,9,
gpt_hlcore,nat_siblings,s41593-021-00923-4,67.0,8.0,8,
