group,paper,gpt_hlcore_total,gpt_directcore_total,delta_total_a_minus_b,gpt_hlcore_repro,gpt_directcore_repro,delta_repro_a_minus_b,gpt_hlcore_units,gpt_directcore_units,delta_units_a_minus_b
nat_protocols,s41596-019-0213-z,58.4,66.5,-8.100000000000001,17.0,19.3,-2.3000000000000007,10,10,0
nat_protocols,s41596-020-00441-w,55.7,62.4,-6.699999999999996,25.1,22.6,2.5,10,10,0
nat_protocols,s41596-020-00474-1,62.7,68.2,-5.5,16.5,18.5,-2.0,10,10,0
nat_protocols,s41596-020-0379-4,55.6,57.3,-1.6999999999999957,24.3,23.1,1.1999999999999993,10,10,0
nat_protocols,s41596-021-00562-w,54.0,59.0,-5.0,27.1,21.5,5.600000000000001,10,10,0
nat_protocols,s41596-021-00603-4,59.9,57.4,2.5,28.5,28.4,0.10000000000000142,10,10,0
nat_protocols,s41596-021-00629-8,58.3,59.9,-1.6000000000000014,20.5,27.4,-6.899999999999999,10,10,0
nat_protocols,s41596-023-00814-x,52.5,64.0,-11.5,33.3,18.5,14.799999999999997,10,10,0
nat_protocols,s41596-023-00827-6,53.2,55.7,-2.5,24.2,26.7,-2.5,10,10,0
nat_protocols,s41596-023-00880-1,54.8,55.1,-0.30000000000000426,27.0,31.3,-4.300000000000001,10,10,0
nat_protocols,s41596-023-00929-1,54.0,63.0,-9.0,25.8,20.0,5.800000000000001,10,10,0
nat_protocols,s41596-025-01197-x,50.2,60.7,-10.5,36.1,19.8,16.3,10,10,0
nat_protocols,s41596-025-01236-7,53.7,58.0,-4.299999999999997,31.4,24.0,7.399999999999999,10,10,0
nat_protocols,s41596-025-01299-6,52.6,64.0,-11.399999999999999,29.9,24.1,5.799999999999997,10,10,0
nat_siblings,s41467-020-19142-9,60.625,66.5,-5.875,21.0,17.25,3.75,8,8,0
nat_siblings,s41467-021-27464-5,60.3,67.6,-7.299999999999997,28.8,23.3,5.5,10,10,0
nat_siblings,s41467-024-55567-2,53.44444444444444,65.2,-11.75555555555556,24.22222222222222,21.3,2.9222222222222207,9,10,-1
nat_siblings,s41467-025-68247-6,52.4,56.9,-4.5,28.0,22.2,5.800000000000001,10,10,0
nat_siblings,s41586-018-0024-3,67.0,83.0,-16.0,8.0,8.0,0.0,4,7,-3
nat_siblings,s41586-019-1654-9,63.57142857142857,82.2,-18.628571428571433,11.714285714285714,8.7,3.0142857142857142,7,10,-3
nat_siblings,s41586-021-03209-8,59.0,65.66666666666667,-6.666666666666671,20.8,21.555555555555557,-0.7555555555555564,10,9,1
nat_siblings,s41586-023-06473-y,64.3,83.0,-18.700000000000003,8.0,8.0,0.0,10,10,0
nat_siblings,s41586-023-06564-w,55.22222222222222,65.2,-9.977777777777781,26.0,23.6,2.3999999999999986,9,10,-1
nat_siblings,s41586-024-08172-8,65.2,83.0,-17.799999999999997,8.5,8.0,0.5,10,10,0
nat_siblings,s41587-023-01718-7,58.7,78.0,-19.299999999999997,15.4,12.2,3.200000000000001,10,10,0
nat_siblings,s41587-023-01747-2,59.8,80.125,-20.325000000000003,13.6,11.0,2.5999999999999996,10,9,1
nat_siblings,s41588-021-00972-2,67.0,79.66666666666667,-12.666666666666671,8.0,11.11111111111111,-3.1111111111111107,10,9,1
nat_siblings,s41588-025-02182-6,67.0,83.0,-16.0,8.0,8.0,0.0,9,10,-1
nat_siblings,s41591-024-02807-z,55.3,75.6,-20.299999999999997,21.0,14.5,6.5,10,10,0
nat_siblings,s41592-021-01344-8,59.22222222222222,71.4,-12.177777777777784,17.666666666666668,15.3,2.366666666666667,9,10,-1
nat_siblings,s41592-021-01391-1,59.6,77.3,-17.699999999999996,15.4,14.4,1.0,10,10,0
nat_siblings,s41592-024-02555-5,67.0,83.0,-16.0,8.0,8.0,0.0,10,10,0
nat_siblings,s41592-025-02927-5,59.333333333333336,75.6,-16.26666666666666,17.333333333333332,13.6,3.7333333333333325,9,10,-1
nat_siblings,s41593-021-00923-4,67.0,83.0,-16.0,8.0,8.0,0.0,8,5,3
