model,group,category,n
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,animal_experiment,19
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,cell_culture,91
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,centrifugation,29
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,dna_rna_extraction,21
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,flow_cytometry,11
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,gel_electrophoresis,1
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,microscopy_imaging,33
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,molecular_cloning,19
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,other,23
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,pcr_qpcr,14
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,purification_cleanup,7
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,sequencing_library_prep,16
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,transfection,5
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,animal_experiment,4
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,cell_culture,26
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,centrifugation,9
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,dna_rna_extraction,14
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,flow_cytometry,4
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,gel_electrophoresis,2
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,microscopy_imaging,14
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,molecular_cloning,17
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,other,79
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,pcr_qpcr,7
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,purification_cleanup,5
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,sequencing_library_prep,21
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,transfection,5
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,animal_experiment,19
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,cell_culture,91
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,centrifugation,28
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,dna_rna_extraction,20
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,flow_cytometry,11
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,gel_electrophoresis,1
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,microscopy_imaging,33
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,molecular_cloning,19
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,other,24
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,pcr_qpcr,13
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,purification_cleanup,7
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,sequencing_library_prep,16
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,transfection,6
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,animal_experiment,4
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,cell_culture,30
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,centrifugation,9
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,dna_rna_extraction,15
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,flow_cytometry,5
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,gel_electrophoresis,2
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,microscopy_imaging,16
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,molecular_cloning,16
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,other,77
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,pcr_qpcr,7
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,purification_cleanup,6
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,sequencing_library_prep,20
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,transfection,5
