model,group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,animal_experiment,19,59.526315789473685,17.05263157894737,0.3684210526315789,0.5789473684210527
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,cell_culture,91,55.46153846153846,23.164835164835164,0.5274725274725275,0.21978021978021978
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,centrifugation,29,53.172413793103445,26.655172413793103,0.6896551724137931,0.06896551724137931
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,dna_rna_extraction,21,54.95238095238095,22.904761904761905,0.5238095238095238,0.3333333333333333
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,flow_cytometry,11,55.63636363636363,23.09090909090909,0.36363636363636365,0.2727272727272727
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,microscopy_imaging,33,55.24242424242424,24.484848484848484,0.5454545454545454,0.2727272727272727
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,molecular_cloning,19,58.10526315789474,20.157894736842106,0.3684210526315789,0.47368421052631576
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,pcr_qpcr,14,56.57142857142857,21.5,0.42857142857142855,0.42857142857142855
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,purification_cleanup,7,55.142857142857146,22.285714285714285,0.5714285714285714,0.42857142857142855
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,sequencing_library_prep,16,59.875,17.75,0.25,0.5625
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,transfection,5,59.4,20.0,0.2,0.4
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,animal_experiment,4,67.0,8.0,0.0,1.0
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,cell_culture,26,59.34615384615385,19.384615384615383,0.2692307692307692,0.4230769230769231
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,centrifugation,9,56.77777777777778,21.555555555555557,0.4444444444444444,0.2222222222222222
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,dna_rna_extraction,14,61.57142857142857,13.5,0.21428571428571427,0.6428571428571429
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,flow_cytometry,4,62.5,17.5,0.0,0.5
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,microscopy_imaging,14,63.142857142857146,15.0,0.0,0.6428571428571429
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,molecular_cloning,17,66.41176470588235,10.176470588235293,0.0,0.8823529411764706
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,pcr_qpcr,7,63.714285714285715,12.142857142857142,0.14285714285714285,0.7142857142857143
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,purification_cleanup,5,63.6,11.4,0.2,0.8
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,sequencing_library_prep,21,63.76190476190476,12.380952380952381,0.047619047619047616,0.6666666666666666
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,transfection,5,65.8,21.8,0.0,0.2
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,animal_experiment,19,63.10526315789474,20.263157894736842,0.3157894736842105,0.3684210526315789
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,cell_culture,91,59.065934065934066,24.043956043956044,0.3956043956043956,0.10989010989010989
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,centrifugation,28,55.107142857142854,26.535714285714285,0.5357142857142857,0.03571428571428571
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,dna_rna_extraction,20,58.95,25.55,0.4,0.15
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,flow_cytometry,11,52.54545454545455,28.363636363636363,0.5454545454545454,0.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,microscopy_imaging,33,58.81818181818182,25.03030303030303,0.42424242424242425,0.18181818181818182
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,molecular_cloning,19,61.89473684210526,22.36842105263158,0.2631578947368421,0.2631578947368421
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,pcr_qpcr,13,61.76923076923077,23.384615384615383,0.38461538461538464,0.3076923076923077
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,purification_cleanup,7,56.142857142857146,26.285714285714285,0.5714285714285714,0.14285714285714285
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,sequencing_library_prep,16,64.75,20.875,0.25,0.375
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,transfection,6,65.66666666666667,19.833333333333332,0.16666666666666666,0.3333333333333333
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,animal_experiment,4,83.0,8.0,0.0,1.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,cell_culture,30,65.63333333333334,22.733333333333334,0.2,0.3
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,centrifugation,9,55.111111111111114,22.444444444444443,0.6666666666666666,0.2222222222222222
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,dna_rna_extraction,15,72.33333333333333,15.066666666666666,0.2,0.6
