model,group,paper,mean_total_score_100,mean_repro_score_100,num_units,failure_reason
qwen_directcore,nat_protocols,s41596-019-0213-z,51.666666666666664,24.11111111111111,9,
qwen_directcore,nat_protocols,s41596-020-00441-w,51.0,28.6,10,
qwen_directcore,nat_protocols,s41596-020-00474-1,80.5,9.9,10,
qwen_directcore,nat_protocols,s41596-020-0379-4,63.7,23.8,10,
qwen_directcore,nat_protocols,s41596-021-00562-w,61.6,20.8,10,
qwen_directcore,nat_protocols,s41596-021-00603-4,58.1,20.5,10,
qwen_directcore,nat_protocols,s41596-021-00629-8,58.1,24.6,10,
qwen_directcore,nat_protocols,s41596-023-00814-x,54.6,28.9,10,
qwen_directcore,nat_protocols,s41596-023-00827-6,56.2,24.8,5,
qwen_directcore,nat_protocols,s41596-023-00880-1,64.9,24.2,10,
qwen_directcore,nat_protocols,s41596-023-00929-1,57.1,19.9,10,
qwen_directcore,nat_protocols,s41596-025-01197-x,71.2,15.7,10,
qwen_directcore,nat_protocols,s41596-025-01236-7,67.6,21.5,10,
qwen_directcore,nat_protocols,s41596-025-01299-6,63.1,24.4,10,
qwen_directcore,nat_siblings,s41467-020-19142-9,64.16666666666667,25.166666666666668,6,
qwen_directcore,nat_siblings,s41467-021-27464-5,65.3,28.6,10,
qwen_directcore,nat_siblings,s41467-024-55567-2,55.6,25.0,10,
qwen_directcore,nat_siblings,s41467-025-68247-6,46.7,28.2,10,
qwen_directcore,nat_siblings,s41586-018-0024-3,83.0,8.0,1,
qwen_directcore,nat_siblings,s41586-019-1654-9,83.0,8.0,1,
qwen_directcore,nat_siblings,s41586-021-03209-8,68.4,16.2,10,
qwen_directcore,nat_siblings,s41586-023-06473-y,80.0,9.9,10,
qwen_directcore,nat_siblings,s41586-023-06564-w,59.8,26.3,10,
qwen_directcore,nat_siblings,s41586-024-08172-8,76.5,12.1,10,
qwen_directcore,nat_siblings,s41587-023-01718-7,75.5,11.3,10,
qwen_directcore,nat_siblings,s41587-023-01747-2,76.375,11.375,8,
qwen_directcore,nat_siblings,s41588-021-00972-2,83.0,8.0,10,
qwen_directcore,nat_siblings,s41588-025-02182-6,83.0,8.0,7,
qwen_directcore,nat_siblings,s41591-024-02807-z,78.9,9.7,10,
qwen_directcore,nat_siblings,s41592-021-01344-8,62.714285714285715,17.714285714285715,7,
qwen_directcore,nat_siblings,s41592-021-01391-1,81.4,10.1,10,
qwen_directcore,nat_siblings,s41592-024-02555-5,83.0,9.3,10,
qwen_directcore,nat_siblings,s41592-025-02927-5,76.75,14.125,8,
qwen_directcore,nat_siblings,s41593-021-00923-4,83.0,8.0,1,
qwen_hlcore,nat_protocols,s41596-019-0213-z,53.22222222222222,25.0,9,
qwen_hlcore,nat_protocols,s41596-020-00441-w,50.333333333333336,30.0,9,
qwen_hlcore,nat_protocols,s41596-020-00474-1,63.5,12.1,10,
qwen_hlcore,nat_protocols,s41596-020-0379-4,53.6,24.7,10,
qwen_hlcore,nat_protocols,s41596-021-00562-w,55.7,22.9,10,
qwen_hlcore,nat_protocols,s41596-021-00603-4,53.3,21.1,10,
qwen_hlcore,nat_protocols,s41596-021-00629-8,56.2,20.8,10,
qwen_hlcore,nat_protocols,s41596-023-00814-x,51.6,28.4,10,
qwen_hlcore,nat_protocols,s41596-023-00827-6,52.4,25.4,5,
qwen_hlcore,nat_protocols,s41596-023-00880-1,64.5,17.4,10,
qwen_hlcore,nat_protocols,s41596-023-00929-1,54.8,22.5,10,
qwen_hlcore,nat_protocols,s41596-025-01197-x,62.0,14.5,10,
qwen_hlcore,nat_protocols,s41596-025-01236-7,60.4,19.8,10,
qwen_hlcore,nat_protocols,s41596-025-01299-6,62.5,17.6,10,
qwen_hlcore,nat_siblings,s41467-020-19142-9,57.0,18.333333333333332,6,
qwen_hlcore,nat_siblings,s41467-021-27464-5,60.6,24.2,10,
qwen_hlcore,nat_siblings,s41467-024-55567-2,62.9,17.6,10,
qwen_hlcore,nat_siblings,s41467-025-68247-6,51.5,24.3,10,
qwen_hlcore,nat_siblings,s41586-018-0024-3,67.0,8.0,1,
qwen_hlcore,nat_siblings,s41586-019-1654-9,67.0,8.0,1,
qwen_hlcore,nat_siblings,s41586-021-03209-8,60.1,15.6,10,
qwen_hlcore,nat_siblings,s41586-023-06473-y,66.1,10.1,10,
qwen_hlcore,nat_siblings,s41586-023-06564-w,58.44444444444444,23.444444444444443,10,
qwen_hlcore,nat_siblings,s41586-024-08172-8,66.1,8.5,10,
qwen_hlcore,nat_siblings,s41587-023-01718-7,67.0,8.0,10,
qwen_hlcore,nat_siblings,s41587-023-01747-2,64.75,11.25,8,
qwen_hlcore,nat_siblings,s41588-021-00972-2,67.0,8.0,10,
qwen_hlcore,nat_siblings,s41588-025-02182-6,67.0,8.0,7,
qwen_hlcore,nat_siblings,s41591-024-02807-z,67.0,8.0,9,
qwen_hlcore,nat_siblings,s41592-021-01344-8,64.75,11.25,8,
qwen_hlcore,nat_siblings,s41592-021-01391-1,66.1,10.5,10,
qwen_hlcore,nat_siblings,s41592-024-02555-5,67.0,8.0,8,
qwen_hlcore,nat_siblings,s41592-025-02927-5,67.0,8.0,7,
qwen_hlcore,nat_siblings,s41593-021-00923-4,67.0,8.0,1,
