group,paper,qwen_hlcore_total,qwen_directcore_total,delta_total_a_minus_b,qwen_hlcore_repro,qwen_directcore_repro,delta_repro_a_minus_b,qwen_hlcore_units,qwen_directcore_units,delta_units_a_minus_b
nat_protocols,s41596-019-0213-z,53.22222222222222,51.666666666666664,1.5555555555555571,25.0,24.11111111111111,0.8888888888888893,9,9,0
nat_protocols,s41596-020-00441-w,50.333333333333336,51.0,-0.6666666666666643,30.0,28.6,1.3999999999999986,9,10,-1
nat_protocols,s41596-020-00474-1,63.5,80.5,-17.0,12.1,9.9,2.1999999999999993,10,10,0
nat_protocols,s41596-020-0379-4,53.6,63.7,-10.100000000000001,24.7,23.8,0.8999999999999986,10,10,0
nat_protocols,s41596-021-00562-w,55.7,61.6,-5.899999999999999,22.9,20.8,2.099999999999998,10,10,0
nat_protocols,s41596-021-00603-4,53.3,58.1,-4.800000000000004,21.1,20.5,0.6000000000000014,10,10,0
nat_protocols,s41596-021-00629-8,56.2,58.1,-1.8999999999999986,20.8,24.6,-3.8000000000000007,10,10,0
nat_protocols,s41596-023-00814-x,51.6,54.6,-3.0,28.4,28.9,-0.5,10,10,0
nat_protocols,s41596-023-00827-6,52.4,56.2,-3.8000000000000043,25.4,24.8,0.5999999999999979,5,5,0
nat_protocols,s41596-023-00880-1,64.5,64.9,-0.4000000000000057,17.4,24.2,-6.800000000000001,10,10,0
nat_protocols,s41596-023-00929-1,54.8,57.1,-2.3000000000000043,22.5,19.9,2.6000000000000014,10,10,0
nat_protocols,s41596-025-01197-x,62.0,71.2,-9.200000000000003,14.5,15.7,-1.1999999999999993,10,10,0
nat_protocols,s41596-025-01236-7,60.4,67.6,-7.199999999999996,19.8,21.5,-1.6999999999999993,10,10,0
nat_protocols,s41596-025-01299-6,62.5,63.1,-0.6000000000000014,17.6,24.4,-6.799999999999997,10,10,0
nat_siblings,s41467-020-19142-9,57.0,64.16666666666667,-7.166666666666671,18.333333333333332,25.166666666666668,-6.833333333333336,6,6,0
nat_siblings,s41467-021-27464-5,60.6,65.3,-4.699999999999996,24.2,28.6,-4.400000000000002,10,10,0
nat_siblings,s41467-024-55567-2,62.9,55.6,7.299999999999997,17.6,25.0,-7.399999999999999,10,10,0
nat_siblings,s41467-025-68247-6,51.5,46.7,4.799999999999997,24.3,28.2,-3.8999999999999986,10,10,0
nat_siblings,s41586-018-0024-3,67.0,83.0,-16.0,8.0,8.0,0.0,1,1,0
nat_siblings,s41586-019-1654-9,67.0,83.0,-16.0,8.0,8.0,0.0,1,1,0
nat_siblings,s41586-021-03209-8,60.1,68.4,-8.300000000000004,15.6,16.2,-0.5999999999999996,10,10,0
nat_siblings,s41586-023-06473-y,66.1,80.0,-13.900000000000006,10.1,9.9,0.1999999999999993,10,10,0
nat_siblings,s41586-023-06564-w,58.44444444444444,59.8,-1.3555555555555543,23.444444444444443,26.3,-2.855555555555558,10,10,0
nat_siblings,s41586-024-08172-8,66.1,76.5,-10.400000000000006,8.5,12.1,-3.5999999999999996,10,10,0
nat_siblings,s41587-023-01718-7,67.0,75.5,-8.5,8.0,11.3,-3.3000000000000007,10,10,0
nat_siblings,s41587-023-01747-2,64.75,76.375,-11.625,11.25,11.375,-0.125,8,8,0
nat_siblings,s41588-021-00972-2,67.0,83.0,-16.0,8.0,8.0,0.0,10,10,0
nat_siblings,s41588-025-02182-6,67.0,83.0,-16.0,8.0,8.0,0.0,7,7,0
nat_siblings,s41591-024-02807-z,67.0,78.9,-11.900000000000006,8.0,9.7,-1.6999999999999993,9,10,-1
nat_siblings,s41592-021-01344-8,64.75,62.714285714285715,2.0357142857142847,11.25,17.714285714285715,-6.464285714285715,8,7,1
nat_siblings,s41592-021-01391-1,66.1,81.4,-15.300000000000011,10.5,10.1,0.40000000000000036,10,10,0
nat_siblings,s41592-024-02555-5,67.0,83.0,-16.0,8.0,9.3,-1.3000000000000007,8,10,-2
nat_siblings,s41592-025-02927-5,67.0,76.75,-9.75,8.0,14.125,-6.125,7,8,-1
nat_siblings,s41593-021-00923-4,67.0,83.0,-16.0,8.0,8.0,0.0,1,1,0
