group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,cell_culture,78,59.833,24.872,0.218,0.154
nat_protocols,centrifugation,28,59.214,20.964,0.25,0.179
nat_protocols,dna_rna_extraction,6,66.333,17.167,0.0,0.5
nat_protocols,flow_cytometry,7,61.571,25.429,0.143,0.143
nat_protocols,microscopy_imaging,14,59.714,29.429,0.214,0.143
nat_protocols,molecular_cloning,7,55.0,30.143,0.429,0.0
nat_protocols,pcr_qpcr,3,63.667,20.0,0.333,0.333
nat_protocols,sequencing_library_prep,3,66.333,15.667,0.0,0.333
nat_siblings,cell_culture,23,58.826,25.304,0.348,0.043
nat_siblings,centrifugation,5,53.8,28.6,0.6,0.0
nat_siblings,dna_rna_extraction,10,77.3,12.2,0.0,0.8
nat_siblings,flow_cytometry,3,74.667,10.667,0.0,0.667
nat_siblings,microscopy_imaging,17,68.882,19.588,0.059,0.412
nat_siblings,molecular_cloning,16,76.312,11.375,0.0,0.875
nat_siblings,pcr_qpcr,4,74.25,20.5,0.0,0.5
nat_siblings,purification_cleanup,4,79.0,13.5,0.0,0.75
nat_siblings,sequencing_library_prep,19,74.632,15.947,0.0,0.579
nat_siblings,transfection,3,58.333,21.667,0.333,0.333
