group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,animal_experiment,3,61.0,13.667,0.0,0.667
nat_protocols,cell_culture,81,54.173,29.062,0.531,0.062
nat_protocols,centrifugation,31,50.968,29.548,0.839,0.0
nat_protocols,dna_rna_extraction,8,57.625,21.0,0.25,0.375
nat_protocols,flow_cytometry,8,55.125,25.25,0.5,0.125
nat_protocols,microscopy_imaging,13,51.769,33.462,0.692,0.0
nat_protocols,molecular_cloning,5,58.2,24.0,0.2,0.2
nat_protocols,sequencing_library_prep,5,54.8,23.6,0.6,0.4
nat_protocols,transfection,3,61.333,13.333,0.333,0.667
nat_siblings,cell_culture,23,53.043,28.783,0.522,0.087
nat_siblings,centrifugation,5,52.4,23.6,0.6,0.2
nat_siblings,dna_rna_extraction,11,61.727,18.182,0.182,0.545
nat_siblings,flow_cytometry,5,62.0,16.8,0.0,0.6
nat_siblings,microscopy_imaging,13,55.231,23.308,0.462,0.462
nat_siblings,molecular_cloning,15,61.6,14.6,0.133,0.733
nat_siblings,pcr_qpcr,4,53.25,21.0,0.5,0.25
nat_siblings,purification_cleanup,3,64.0,11.333,0.0,0.667
nat_siblings,sequencing_library_prep,18,58.889,14.444,0.222,0.667
nat_siblings,transfection,4,60.0,25.75,0.25,0.25
