group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,animal_experiment,19,63.105,20.263,0.316,0.368
nat_protocols,cell_culture,91,59.066,24.044,0.396,0.11
nat_protocols,centrifugation,28,55.107,26.536,0.536,0.036
nat_protocols,dna_rna_extraction,20,58.95,25.55,0.4,0.15
nat_protocols,flow_cytometry,11,52.545,28.364,0.545,0.0
nat_protocols,microscopy_imaging,33,58.818,25.03,0.424,0.182
nat_protocols,molecular_cloning,19,61.895,22.368,0.263,0.263
nat_protocols,pcr_qpcr,13,61.769,23.385,0.385,0.308
nat_protocols,purification_cleanup,7,56.143,26.286,0.571,0.143
nat_protocols,sequencing_library_prep,16,64.75,20.875,0.25,0.375
nat_protocols,transfection,6,65.667,19.833,0.167,0.333
nat_siblings,animal_experiment,4,83.0,8.0,0.0,1.0
nat_siblings,cell_culture,30,65.633,22.733,0.2,0.3
nat_siblings,centrifugation,9,55.111,22.444,0.667,0.222
nat_siblings,dna_rna_extraction,15,72.333,15.067,0.2,0.6
nat_siblings,flow_cytometry,5,61.4,19.0,0.4,0.4
nat_siblings,microscopy_imaging,16,71.312,15.625,0.188,0.625
nat_siblings,molecular_cloning,16,76.75,12.25,0.062,0.75
nat_siblings,pcr_qpcr,7,71.429,16.714,0.143,0.571
nat_siblings,purification_cleanup,6,77.5,13.833,0.0,0.667
nat_siblings,sequencing_library_prep,20,68.9,16.8,0.15,0.45
nat_siblings,transfection,5,69.0,22.6,0.2,0.4
