group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,animal_experiment,19,59.526,17.053,0.368,0.579
nat_protocols,cell_culture,91,55.462,23.165,0.527,0.22
nat_protocols,centrifugation,29,53.172,26.655,0.69,0.069
nat_protocols,dna_rna_extraction,21,54.952,22.905,0.524,0.333
nat_protocols,flow_cytometry,11,55.636,23.091,0.364,0.273
nat_protocols,microscopy_imaging,33,55.242,24.485,0.545,0.273
nat_protocols,molecular_cloning,19,58.105,20.158,0.368,0.474
nat_protocols,pcr_qpcr,14,56.571,21.5,0.429,0.429
nat_protocols,purification_cleanup,7,55.143,22.286,0.571,0.429
nat_protocols,sequencing_library_prep,16,59.875,17.75,0.25,0.562
nat_protocols,transfection,5,59.4,20.0,0.2,0.4
nat_siblings,animal_experiment,4,67.0,8.0,0.0,1.0
nat_siblings,cell_culture,26,59.346,19.385,0.269,0.423
nat_siblings,centrifugation,9,56.778,21.556,0.444,0.222
nat_siblings,dna_rna_extraction,14,61.571,13.5,0.214,0.643
nat_siblings,flow_cytometry,4,62.5,17.5,0.0,0.5
nat_siblings,microscopy_imaging,14,63.143,15.0,0.0,0.643
nat_siblings,molecular_cloning,17,66.412,10.176,0.0,0.882
nat_siblings,pcr_qpcr,7,63.714,12.143,0.143,0.714
nat_siblings,purification_cleanup,5,63.6,11.4,0.2,0.8
nat_siblings,sequencing_library_prep,21,63.762,12.381,0.048,0.667
nat_siblings,transfection,5,65.8,21.8,0.0,0.2
