run,group,paper,number_of_units,mean_total_score_100,mean_repro_score_100,failed_units,connection_refused_units
gpt_hlcore,nat_protocols,s41596-019-0213-z,10,58.4,17.0,0,0
gpt_hlcore,nat_protocols,s41596-020-00441-w,10,55.7,25.1,0,0
gpt_hlcore,nat_protocols,s41596-020-00474-1,10,62.7,16.5,0,0
gpt_hlcore,nat_protocols,s41596-020-0379-4,10,55.6,24.3,0,0
gpt_hlcore,nat_protocols,s41596-021-00562-w,10,54.0,27.1,0,0
gpt_hlcore,nat_protocols,s41596-021-00603-4,10,59.9,28.5,0,0
gpt_hlcore,nat_protocols,s41596-021-00629-8,10,58.3,20.5,0,0
gpt_hlcore,nat_protocols,s41596-023-00814-x,10,52.5,33.3,0,0
gpt_hlcore,nat_protocols,s41596-023-00827-6,10,53.2,24.2,0,0
gpt_hlcore,nat_protocols,s41596-023-00880-1,10,54.8,27.0,0,0
gpt_hlcore,nat_protocols,s41596-023-00929-1,10,54.0,25.8,0,0
gpt_hlcore,nat_protocols,s41596-025-01197-x,10,50.2,36.1,0,0
gpt_hlcore,nat_protocols,s41596-025-01236-7,10,53.7,31.4,0,0
gpt_hlcore,nat_protocols,s41596-025-01299-6,10,52.6,29.9,0,0
gpt_hlcore,nat_siblings,s41467-020-19142-9,8,60.625,21.0,0,0
gpt_hlcore,nat_siblings,s41467-021-27464-5,10,60.3,28.8,0,0
gpt_hlcore,nat_siblings,s41467-024-55567-2,9,53.44444444444444,24.22222222222222,0,0
gpt_hlcore,nat_siblings,s41467-025-68247-6,10,52.4,28.0,0,0
gpt_hlcore,nat_siblings,s41586-018-0024-3,4,67.0,8.0,0,0
gpt_hlcore,nat_siblings,s41586-019-1654-9,7,63.57142857142857,11.714285714285714,0,0
gpt_hlcore,nat_siblings,s41586-021-03209-8,10,59.0,20.8,0,0
gpt_hlcore,nat_siblings,s41586-023-06473-y,10,64.3,8.0,0,0
gpt_hlcore,nat_siblings,s41586-023-06564-w,9,55.22222222222222,26.0,0,0
gpt_hlcore,nat_siblings,s41586-024-08172-8,10,65.2,8.5,0,0
gpt_hlcore,nat_siblings,s41587-023-01718-7,10,58.7,15.4,0,0
gpt_hlcore,nat_siblings,s41587-023-01747-2,10,59.8,13.6,0,0
gpt_hlcore,nat_siblings,s41588-021-00972-2,10,67.0,8.0,0,0
gpt_hlcore,nat_siblings,s41588-025-02182-6,9,67.0,8.0,0,0
gpt_hlcore,nat_siblings,s41591-024-02807-z,10,55.3,21.0,0,0
gpt_hlcore,nat_siblings,s41592-021-01344-8,9,59.22222222222222,17.666666666666668,0,0
gpt_hlcore,nat_siblings,s41592-021-01391-1,10,59.6,15.4,0,0
gpt_hlcore,nat_siblings,s41592-024-02555-5,10,67.0,8.0,0,0
gpt_hlcore,nat_siblings,s41592-025-02927-5,9,59.333333333333336,17.333333333333332,0,0
gpt_hlcore,nat_siblings,s41593-021-00923-4,8,67.0,8.0,0,0
gpt_directcore,nat_protocols,s41596-019-0213-z,10,66.5,19.3,0,0
gpt_directcore,nat_protocols,s41596-020-00441-w,10,62.4,22.6,0,0
gpt_directcore,nat_protocols,s41596-020-00474-1,10,68.2,18.5,0,0
gpt_directcore,nat_protocols,s41596-020-0379-4,10,57.3,23.1,0,0
gpt_directcore,nat_protocols,s41596-021-00562-w,10,59.0,21.5,0,0
gpt_directcore,nat_protocols,s41596-021-00603-4,10,57.4,28.4,0,0
gpt_directcore,nat_protocols,s41596-021-00629-8,10,59.9,27.4,0,0
gpt_directcore,nat_protocols,s41596-023-00814-x,10,64.0,18.5,0,0
gpt_directcore,nat_protocols,s41596-023-00827-6,10,55.7,26.7,0,0
gpt_directcore,nat_protocols,s41596-023-00880-1,10,55.1,31.3,0,0
gpt_directcore,nat_protocols,s41596-023-00929-1,10,63.0,20.0,0,0
gpt_directcore,nat_protocols,s41596-025-01197-x,10,60.7,19.8,0,0
gpt_directcore,nat_protocols,s41596-025-01236-7,10,58.0,24.0,0,0
gpt_directcore,nat_protocols,s41596-025-01299-6,10,64.0,24.1,0,0
gpt_directcore,nat_siblings,s41467-020-19142-9,8,66.5,17.25,0,0
gpt_directcore,nat_siblings,s41467-021-27464-5,10,67.6,23.3,0,0
gpt_directcore,nat_siblings,s41467-024-55567-2,10,65.2,21.3,0,0
gpt_directcore,nat_siblings,s41467-025-68247-6,10,56.9,22.2,0,0
gpt_directcore,nat_siblings,s41586-018-0024-3,7,83.0,8.0,0,0
gpt_directcore,nat_siblings,s41586-019-1654-9,10,82.2,8.7,0,0
gpt_directcore,nat_siblings,s41586-021-03209-8,9,65.66666666666667,21.555555555555557,0,0
gpt_directcore,nat_siblings,s41586-023-06473-y,10,83.0,8.0,0,0
gpt_directcore,nat_siblings,s41586-023-06564-w,10,65.2,23.6,0,0
gpt_directcore,nat_siblings,s41586-024-08172-8,10,83.0,8.0,0,0
gpt_directcore,nat_siblings,s41587-023-01718-7,10,78.0,12.2,0,0
gpt_directcore,nat_siblings,s41587-023-01747-2,9,80.125,11.0,1,0
gpt_directcore,nat_siblings,s41588-021-00972-2,9,79.66666666666667,11.11111111111111,0,0
gpt_directcore,nat_siblings,s41588-025-02182-6,10,83.0,8.0,0,0
gpt_directcore,nat_siblings,s41591-024-02807-z,10,75.6,14.5,0,0
gpt_directcore,nat_siblings,s41592-021-01344-8,10,71.4,15.3,0,0
gpt_directcore,nat_siblings,s41592-021-01391-1,10,77.3,14.4,0,0
gpt_directcore,nat_siblings,s41592-024-02555-5,10,83.0,8.0,0,0
gpt_directcore,nat_siblings,s41592-025-02927-5,10,75.6,13.6,0,0
gpt_directcore,nat_siblings,s41593-021-00923-4,5,83.0,8.0,0,0
qwen_hlcore,nat_protocols,s41596-019-0213-z,9,53.22222222222222,25.0,0,0
qwen_hlcore,nat_protocols,s41596-020-00441-w,9,50.333333333333336,30.0,0,0
qwen_hlcore,nat_protocols,s41596-020-00474-1,10,63.5,12.1,0,0
qwen_hlcore,nat_protocols,s41596-020-0379-4,10,53.6,24.7,0,0
qwen_hlcore,nat_protocols,s41596-021-00562-w,10,55.7,22.9,0,0
qwen_hlcore,nat_protocols,s41596-021-00603-4,10,53.3,21.1,0,0
qwen_hlcore,nat_protocols,s41596-021-00629-8,10,56.2,20.8,0,0
qwen_hlcore,nat_protocols,s41596-023-00814-x,10,51.6,28.4,0,0
qwen_hlcore,nat_protocols,s41596-023-00827-6,5,52.4,25.4,0,0
