group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,animal_experiment,10,71.4,29.6,0.0,0.1
nat_protocols,cell_culture,98,76.194,28.153,0.0,0.051
nat_protocols,centrifugation,37,77.0,28.757,0.0,0.0
nat_protocols,dna_rna_extraction,12,74.75,31.75,0.0,0.0
nat_protocols,flow_cytometry,8,71.875,27.75,0.0,0.0
nat_protocols,microscopy_imaging,23,69.652,30.087,0.0,0.13
nat_protocols,molecular_cloning,16,73.25,28.062,0.0,0.125
nat_protocols,pcr_qpcr,8,77.875,32.125,0.0,0.0
nat_protocols,purification_cleanup,4,82.0,29.5,0.0,0.0
nat_protocols,sequencing_library_prep,14,75.357,30.786,0.0,0.071
nat_protocols,transfection,5,73.8,32.2,0.0,0.0
nat_siblings,animal_experiment,3,73.0,30.667,0.0,0.333
nat_siblings,cell_culture,24,76.042,26.833,0.0,0.125
nat_siblings,centrifugation,7,76.714,31.429,0.0,0.143
nat_siblings,dna_rna_extraction,11,72.455,25.0,0.0,0.364
nat_siblings,flow_cytometry,8,78.375,31.375,0.0,0.0
nat_siblings,microscopy_imaging,15,72.867,29.733,0.0,0.2
nat_siblings,molecular_cloning,14,71.786,22.0,0.0,0.429
nat_siblings,pcr_qpcr,5,71.0,30.4,0.0,0.2
nat_siblings,purification_cleanup,3,72.667,26.0,0.0,0.333
nat_siblings,sequencing_library_prep,15,72.467,23.133,0.0,0.4
