group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,cell_culture,70,74.043,26.6,0.0,0.071
nat_protocols,centrifugation,28,74.607,28.571,0.0,0.036
nat_protocols,dna_rna_extraction,5,74.6,30.0,0.0,0.0
nat_protocols,flow_cytometry,10,72.1,28.8,0.0,0.0
nat_protocols,microscopy_imaging,23,71.174,29.87,0.0,0.043
nat_protocols,molecular_cloning,7,73.857,24.571,0.0,0.143
nat_protocols,transfection,4,72.25,22.0,0.0,0.25
nat_siblings,animal_experiment,6,61.167,19.833,0.167,0.5
nat_siblings,cell_culture,32,69.5,25.0,0.031,0.188
nat_siblings,centrifugation,5,74.0,26.2,0.2,0.2
nat_siblings,dna_rna_extraction,10,68.8,19.8,0.1,0.4
nat_siblings,flow_cytometry,7,73.714,22.429,0.143,0.286
nat_siblings,microscopy_imaging,15,68.0,24.067,0.067,0.333
nat_siblings,molecular_cloning,12,66.0,19.5,0.083,0.417
nat_siblings,pcr_qpcr,3,65.667,24.333,0.333,0.333
nat_siblings,purification_cleanup,3,73.0,25.333,0.0,0.0
nat_siblings,sequencing_library_prep,8,69.375,20.125,0.125,0.375
