group,paper,unit,total_score_100
nat_protocols,s41596-019-0213-z,unit_001,67.000000
nat_protocols,s41596-019-0213-z,unit_002,67.000000
nat_protocols,s41596-019-0213-z,unit_003,67.000000
nat_protocols,s41596-019-0213-z,unit_004,67.000000
nat_protocols,s41596-020-0379-4,unit_001,67.000000
nat_protocols,s41596-020-0379-4,unit_002,67.000000
nat_protocols,s41596-020-0379-4,unit_003,67.000000
nat_protocols,s41596-020-0379-4,unit_004,67.000000
nat_protocols,s41596-021-00603-4,unit_001,67.000000
nat_protocols,s41596-021-00603-4,unit_002,67.000000
nat_protocols,s41596-021-00629-8,unit_001,67.000000
nat_protocols,s41596-021-00629-8,unit_002,67.000000
nat_protocols,s41596-023-00814-x,unit_001,67.000000
nat_protocols,s41596-023-00814-x,unit_002,67.000000
nat_protocols,s41596-023-00814-x,unit_003,67.000000
nat_protocols,s41596-023-00814-x,unit_004,67.000000
nat_protocols,s41596-023-00814-x,unit_005,67.000000
nat_protocols,s41596-023-00814-x,unit_006,67.000000
nat_protocols,s41596-023-00814-x,unit_007,67.000000
nat_protocols,s41596-023-00814-x,unit_008,67.000000
