run,group,paper,unit,default_100,repro_100,viability_pass
no_rulepack,nat_siblings,s41592-021-01391-1,unit_001,67,21,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_007,50,17,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_006,50,31,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_002,50,23,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_004,58,13,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_003,83,8,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_005,83,8,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_008,50,22,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_001,67,27,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_007,67,24,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_006,83,8,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_002,50,32,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_004,58,12,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_005,51,29,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_008,58,31,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_009,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_001,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_007,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_006,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_002,42,17,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_010,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_003,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_005,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_008,83,8,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_001,50,27,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_007,50,18,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_006,83,8,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_002,58,8,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_004,75,15,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_005,75,28,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_008,83,8,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_009,39,22,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_001,50,28,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_007,67,17,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_006,58,28,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_002,75,14,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_010,67,24,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_004,58,21,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_003,75,28,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_005,58,18,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_008,50,21,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_009,83,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_001,83,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_007,75,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_006,75,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_002,83,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_010,58,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_004,75,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_003,83,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_005,75,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_008,83,8,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_009,51,31,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_001,83,8,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_007,42,28,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_006,76,12,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_002,38,22,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_004,51,28,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_003,42,21,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_005,42,29,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_008,61,22,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_009,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_001,67,34,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_007,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_006,42,21,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_002,58,17,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_010,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_004,75,15,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_003,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_005,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_008,83,8,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_009,58,31,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_001,33,24,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_006,57,28,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_002,37,20,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_010,61,24,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_004,50,28,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_003,63,12,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_008,42,28,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_009,42,21,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_001,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_007,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_006,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_002,58,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_010,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_004,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_003,67,21,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_005,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_008,83,8,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_009,58,34,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_001,60,29,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_007,51,25,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_006,70,41,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_002,83,8,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_010,67,34,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_004,46,27,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_003,63,20,True
