group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
nat_protocols,cell_culture,49,58.796,25.367,0.449,0.061
nat_protocols,centrifugation,16,57.938,26.875,0.5,0.0
nat_protocols,dna_rna_extraction,3,72.0,11.0,0.333,0.667
nat_protocols,flow_cytometry,5,58.8,27.2,0.6,0.0
nat_protocols,microscopy_imaging,5,64.2,25.0,0.2,0.2
nat_protocols,sequencing_library_prep,5,73.2,17.6,0.2,0.4
nat_siblings,cell_culture,41,59.244,24.927,0.366,0.122
nat_siblings,centrifugation,3,56.0,23.667,0.333,0.0
nat_siblings,dna_rna_extraction,17,72.882,16.412,0.059,0.588
nat_siblings,flow_cytometry,5,68.8,17.8,0.0,0.2
nat_siblings,microscopy_imaging,15,66.533,18.533,0.133,0.467
nat_siblings,molecular_cloning,17,70.412,15.882,0.118,0.588
nat_siblings,pcr_qpcr,6,72.833,19.5,0.0,0.5
nat_siblings,purification_cleanup,3,80.667,10.667,0.0,0.667
nat_siblings,sequencing_library_prep,16,65.75,18.25,0.062,0.5
nat_siblings,transfection,4,65.5,23.0,0.25,0.25
