group,paper,num_units,mean_total_score_100,median_total_score_100
nat_protocols,s41596-019-0213-z,9,62.777778,58.000000
nat_protocols,s41596-020-0379-4,5,55.200000,58.000000
nat_protocols,s41596-021-00603-4,10,55.000000,50.000000
nat_protocols,s41596-021-00629-8,10,65.700000,62.500000
nat_protocols,s41596-023-00814-x,7,53.857143,50.000000
nat_protocols,s41596-023-00880-1,9,60.111111,58.000000
nat_protocols,s41596-023-00929-1,10,58.600000,50.000000
nat_protocols,s41596-025-01197-x,5,69.200000,72.000000
nat_protocols,s41596-025-01299-6,8,64.625000,67.000000
nat_siblings,s41467-020-19142-9,9,63.444444,67.000000
nat_siblings,s41467-021-27464-5,9,61.777778,63.000000
nat_siblings,s41467-024-55567-2,7,59.428571,60.000000
nat_siblings,s41467-025-68247-6,10,61.800000,59.500000
nat_siblings,s41586-018-0024-3,10,66.800000,67.500000
nat_siblings,s41586-019-1654-9,10,60.600000,58.500000
nat_siblings,s41586-021-03209-8,10,63.300000,62.500000
nat_siblings,s41586-023-06473-y,10,74.200000,76.000000
nat_siblings,s41586-023-06564-w,9,62.555556,67.000000
nat_siblings,s41586-024-08172-8,10,77.200000,83.000000
nat_siblings,s41587-023-01718-7,10,78.000000,83.000000
nat_siblings,s41587-023-01747-2,10,78.900000,83.000000
nat_siblings,s41588-021-00972-2,9,73.777778,83.000000
nat_siblings,s41588-025-02182-6,9,74.777778,83.000000
nat_siblings,s41591-024-02807-z,8,76.875000,83.000000
nat_siblings,s41592-021-01344-8,9,63.000000,58.000000
nat_siblings,s41592-021-01391-1,7,61.000000,58.000000
nat_siblings,s41592-024-02555-5,10,78.900000,83.000000
nat_siblings,s41592-025-02927-5,8,76.875000,83.000000
nat_siblings,s41593-021-00923-4,8,63.875000,59.500000
