model,group,category,n
gpt-oss-120b-v7,nat_protocols,animal_experiment,10
gpt-oss-120b-v7,nat_protocols,cell_culture,98
gpt-oss-120b-v7,nat_protocols,centrifugation,37
gpt-oss-120b-v7,nat_protocols,dna_rna_extraction,12
gpt-oss-120b-v7,nat_protocols,flow_cytometry,8
gpt-oss-120b-v7,nat_protocols,gel_electrophoresis,1
gpt-oss-120b-v7,nat_protocols,microscopy_imaging,23
gpt-oss-120b-v7,nat_protocols,molecular_cloning,16
gpt-oss-120b-v7,nat_protocols,other,14
gpt-oss-120b-v7,nat_protocols,pcr_qpcr,8
gpt-oss-120b-v7,nat_protocols,purification_cleanup,4
gpt-oss-120b-v7,nat_protocols,sequencing_library_prep,14
gpt-oss-120b-v7,nat_protocols,transfection,5
gpt-oss-120b-v7,nat_siblings,animal_experiment,3
gpt-oss-120b-v7,nat_siblings,cell_culture,24
gpt-oss-120b-v7,nat_siblings,centrifugation,7
gpt-oss-120b-v7,nat_siblings,dna_rna_extraction,11
gpt-oss-120b-v7,nat_siblings,flow_cytometry,8
gpt-oss-120b-v7,nat_siblings,gel_electrophoresis,1
gpt-oss-120b-v7,nat_siblings,microscopy_imaging,15
gpt-oss-120b-v7,nat_siblings,molecular_cloning,14
gpt-oss-120b-v7,nat_siblings,other,38
gpt-oss-120b-v7,nat_siblings,pcr_qpcr,5
gpt-oss-120b-v7,nat_siblings,purification_cleanup,3
gpt-oss-120b-v7,nat_siblings,sequencing_library_prep,15
gpt-oss-120b-v7,nat_siblings,transfection,2
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,animal_experiment,2
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,cell_culture,70
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,centrifugation,28
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,dna_rna_extraction,5
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,flow_cytometry,10
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,microscopy_imaging,23
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,molecular_cloning,7
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,other,32
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,pcr_qpcr,2
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,purification_cleanup,2
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,sequencing_library_prep,1
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,transfection,4
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,animal_experiment,6
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,cell_culture,32
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,centrifugation,5
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,dna_rna_extraction,10
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,flow_cytometry,7
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,microscopy_imaging,15
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,molecular_cloning,12
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,other,43
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,pcr_qpcr,3
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,purification_cleanup,3
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,sequencing_library_prep,8
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,transfection,1
