model,group,category,n,default_mean,repro_mean,low_default_rate,low_repro_rate
gpt-oss-120b-v7,nat_protocols,animal_experiment,10,71.4,29.6,0.0,0.1
gpt-oss-120b-v7,nat_protocols,cell_culture,98,76.1938775510204,28.153061224489797,0.0,0.05102040816326531
gpt-oss-120b-v7,nat_protocols,centrifugation,37,77.0,28.756756756756758,0.0,0.0
gpt-oss-120b-v7,nat_protocols,dna_rna_extraction,12,74.75,31.75,0.0,0.0
gpt-oss-120b-v7,nat_protocols,flow_cytometry,8,71.875,27.75,0.0,0.0
gpt-oss-120b-v7,nat_protocols,microscopy_imaging,23,69.65217391304348,30.08695652173913,0.0,0.13043478260869565
gpt-oss-120b-v7,nat_protocols,molecular_cloning,16,73.25,28.0625,0.0,0.125
gpt-oss-120b-v7,nat_protocols,pcr_qpcr,8,77.875,32.125,0.0,0.0
gpt-oss-120b-v7,nat_protocols,purification_cleanup,4,82.0,29.5,0.0,0.0
gpt-oss-120b-v7,nat_protocols,sequencing_library_prep,14,75.35714285714286,30.785714285714285,0.0,0.07142857142857142
gpt-oss-120b-v7,nat_protocols,transfection,5,73.8,32.2,0.0,0.0
gpt-oss-120b-v7,nat_siblings,animal_experiment,3,73.0,30.666666666666668,0.0,0.3333333333333333
gpt-oss-120b-v7,nat_siblings,cell_culture,24,76.04166666666667,26.833333333333332,0.0,0.125
gpt-oss-120b-v7,nat_siblings,centrifugation,7,76.71428571428571,31.428571428571427,0.0,0.14285714285714285
gpt-oss-120b-v7,nat_siblings,dna_rna_extraction,11,72.45454545454545,25.0,0.0,0.36363636363636365
gpt-oss-120b-v7,nat_siblings,flow_cytometry,8,78.375,31.375,0.0,0.0
gpt-oss-120b-v7,nat_siblings,microscopy_imaging,15,72.86666666666666,29.733333333333334,0.0,0.2
gpt-oss-120b-v7,nat_siblings,molecular_cloning,14,71.78571428571429,22.0,0.0,0.42857142857142855
gpt-oss-120b-v7,nat_siblings,pcr_qpcr,5,71.0,30.4,0.0,0.2
gpt-oss-120b-v7,nat_siblings,purification_cleanup,3,72.66666666666667,26.0,0.0,0.3333333333333333
gpt-oss-120b-v7,nat_siblings,sequencing_library_prep,15,72.46666666666667,23.133333333333333,0.0,0.4
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,cell_culture,70,74.04285714285714,26.6,0.0,0.07142857142857142
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,centrifugation,28,74.60714285714286,28.571428571428573,0.0,0.03571428571428571
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,dna_rna_extraction,5,74.6,30.0,0.0,0.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,flow_cytometry,10,72.1,28.8,0.0,0.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,microscopy_imaging,23,71.17391304347827,29.869565217391305,0.0,0.043478260869565216
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,molecular_cloning,7,73.85714285714286,24.571428571428573,0.0,0.14285714285714285
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,transfection,4,72.25,22.0,0.0,0.25
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,animal_experiment,6,61.166666666666664,19.833333333333332,0.16666666666666666,0.5
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,cell_culture,32,69.5,25.0,0.03125,0.1875
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,centrifugation,5,74.0,26.2,0.2,0.2
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,dna_rna_extraction,10,68.8,19.8,0.1,0.4
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,flow_cytometry,7,73.71428571428571,22.428571428571427,0.14285714285714285,0.2857142857142857
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,microscopy_imaging,15,68.0,24.066666666666666,0.06666666666666667,0.3333333333333333
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,molecular_cloning,12,66.0,19.5,0.08333333333333333,0.4166666666666667
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,pcr_qpcr,3,65.66666666666667,24.333333333333332,0.3333333333333333,0.3333333333333333
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,purification_cleanup,3,73.0,25.333333333333332,0.0,0.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,sequencing_library_prep,8,69.375,20.125,0.125,0.375
