model,group,paper,mean_total_score_100,mean_repro_score_100,num_units,failure_reason
gpt-oss-120b-v7,nat_protocols,s41596-019-0213-z,76.2,29.0,10,
gpt-oss-120b-v7,nat_protocols,s41596-020-00441-w,68.75,31.0,4,
gpt-oss-120b-v7,nat_protocols,s41596-020-00474-1,73.11111111111111,25.444444444444443,9,
gpt-oss-120b-v7,nat_protocols,s41596-020-0379-4,75.9,29.9,10,
gpt-oss-120b-v7,nat_protocols,s41596-021-00562-w,76.88888888888889,26.0,9,
gpt-oss-120b-v7,nat_protocols,s41596-021-00603-4,81.2,29.0,10,
gpt-oss-120b-v7,nat_protocols,s41596-021-00629-8,77.33333333333333,24.5,6,
gpt-oss-120b-v7,nat_protocols,s41596-023-00814-x,73.1,33.7,10,
gpt-oss-120b-v7,nat_protocols,s41596-023-00827-6,78.2,28.4,10,
gpt-oss-120b-v7,nat_protocols,s41596-023-00880-1,69.3,24.9,10,
gpt-oss-120b-v7,nat_protocols,s41596-023-00929-1,76.6,24.9,10,
gpt-oss-120b-v7,nat_protocols,s41596-025-01197-x,68.9,19.5,10,
gpt-oss-120b-v7,nat_protocols,s41596-025-01236-7,77.8,24.8,10,
gpt-oss-120b-v7,nat_protocols,s41596-025-01299-6,77.2,30.3,10,
gpt-oss-120b-v7,nat_siblings,s41467-020-19142-9,76.1,26.3,10,
gpt-oss-120b-v7,nat_siblings,s41467-021-27464-5,75.125,28.0,8,
gpt-oss-120b-v7,nat_siblings,s41467-024-55567-2,83.75,32.25,4,
gpt-oss-120b-v7,nat_siblings,s41467-025-68247-6,76.85714285714286,30.428571428571427,7,
gpt-oss-120b-v7,nat_siblings,s41586-018-0024-3,67.5,14.333333333333334,6,
gpt-oss-120b-v7,nat_siblings,s41586-019-1654-9,72.25,25.125,8,
gpt-oss-120b-v7,nat_siblings,s41586-021-03209-8,79.0,23.714285714285715,7,
gpt-oss-120b-v7,nat_siblings,s41586-023-06473-y,74.0,25.0,4,
gpt-oss-120b-v7,nat_siblings,s41586-023-06564-w,72.2,25.6,5,
gpt-oss-120b-v7,nat_siblings,s41586-024-08172-8,69.33333333333333,8.833333333333334,6,
