model,group,paper,nodes,material_edges,logical_edges,inter_edges,material_edge_density,logical_edge_density,material_isolated_rate,logical_isolated_rate,combined_isolated_rate,material_pass,logical_pass,combined_pass,mean_total_score_100,mean_repro_score_100,num_units
gpt-oss-120b-v7,nat_protocols,s41596-019-0213-z,10,0,8,0,0.0,0.08888888888888889,1.0,0.3,0.3,False,False,False,76.2,29.0,10.0
gpt-oss-120b-v7,nat_protocols,s41596-020-00441-w,4,0,6,0,0.0,0.5,1.0,0.0,0.0,False,True,True,68.75,31.0,4.0
gpt-oss-120b-v7,nat_protocols,s41596-020-00474-1,9,1,16,1,0.013888888888888888,0.2222222222222222,0.778,0.0,0.0,False,True,True,73.11111111111111,25.444444444444443,9.0
gpt-oss-120b-v7,nat_protocols,s41596-020-0379-4,10,0,9,0,0.0,0.1,1.0,0.2,0.2,False,False,False,75.9,29.9,10.0
gpt-oss-120b-v7,nat_protocols,s41596-021-00562-w,9,0,13,0,0.0,0.18055555555555555,1.0,0.0,0.0,False,True,True,76.88888888888889,26.0,9.0
gpt-oss-120b-v7,nat_protocols,s41596-021-00603-4,10,1,5,1,0.011111111111111112,0.05555555555555555,0.8,0.3,0.3,False,False,False,81.2,29.0,10.0
gpt-oss-120b-v7,nat_protocols,s41596-021-00629-8,6,2,3,2,0.06666666666666667,0.1,0.667,0.333,0.333,False,False,False,77.33333333333333,24.5,6.0
gpt-oss-120b-v7,nat_protocols,s41596-023-00814-x,10,0,22,0,0.0,0.24444444444444444,1.0,0.0,0.0,False,True,True,73.1,33.7,10.0
gpt-oss-120b-v7,nat_protocols,s41596-023-00827-6,10,0,12,0,0.0,0.13333333333333333,1.0,0.0,0.0,False,True,True,78.2,28.4,10.0
gpt-oss-120b-v7,nat_protocols,s41596-023-00880-1,10,3,14,3,0.03333333333333333,0.15555555555555556,0.7,0.0,0.0,False,True,True,69.3,24.9,10.0
gpt-oss-120b-v7,nat_protocols,s41596-023-00929-1,10,0,20,0,0.0,0.2222222222222222,1.0,0.0,0.0,False,True,True,76.6,24.9,10.0
gpt-oss-120b-v7,nat_protocols,s41596-025-01197-x,10,0,19,0,0.0,0.2111111111111111,1.0,0.1,0.1,False,False,False,68.9,19.5,10.0
gpt-oss-120b-v7,nat_protocols,s41596-025-01236-7,10,0,9,0,0.0,0.1,1.0,0.1,0.1,False,False,False,77.8,24.8,10.0
gpt-oss-120b-v7,nat_protocols,s41596-025-01299-6,10,0,12,0,0.0,0.13333333333333333,1.0,0.0,0.0,False,True,True,77.2,30.3,10.0
gpt-oss-120b-v7,nat_siblings,s41467-020-19142-9,10,0,3,0,0.0,0.03333333333333333,1.0,0.4,0.4,False,False,False,76.1,26.3,10.0
gpt-oss-120b-v7,nat_siblings,s41467-021-27464-5,8,0,4,0,0.0,0.07142857142857142,1.0,0.25,0.25,False,False,False,75.125,28.0,8.0
gpt-oss-120b-v7,nat_siblings,s41467-024-55567-2,4,0,4,0,0.0,0.3333333333333333,1.0,0.0,0.0,False,True,True,83.75,32.25,4.0
gpt-oss-120b-v7,nat_siblings,s41467-025-68247-6,7,0,4,0,0.0,0.09523809523809523,1.0,0.286,0.286,False,False,False,76.85714285714286,30.428571428571427,7.0
gpt-oss-120b-v7,nat_siblings,s41586-018-0024-3,6,0,5,0,0.0,0.16666666666666666,1.0,0.0,0.0,False,True,True,67.5,14.333333333333334,6.0
gpt-oss-120b-v7,nat_siblings,s41586-019-1654-9,8,0,4,0,0.0,0.07142857142857142,1.0,0.25,0.25,False,False,False,72.25,25.125,8.0
gpt-oss-120b-v7,nat_siblings,s41586-021-03209-8,7,0,3,0,0.0,0.07142857142857142,1.0,0.143,0.143,False,False,False,79.0,23.714285714285715,7.0
