[benchmark] group=nat_protocols papers=3 source=run/shards_pilot_v4/shard3/nat_protocols
[benchmark] nat_protocols 1/3 s41596-020-0379-4.pdf
[benchmark] nat_protocols 2/3 s41596-023-00814-x.pdf
[benchmark] nat_protocols 3/3 s41596-025-01197-x.pdf
[benchmark] group=nat_siblings papers=5 source=run/shards_pilot_v4/shard3/nat_siblings
[benchmark] nat_siblings 1/5 s41467-025-68247-6.pdf
[benchmark] nat_siblings 2/5 s41586-023-06473-y.pdf
[benchmark] nat_siblings 3/5 s41587-023-01747-2.pdf
[benchmark] nat_siblings 4/5 s41592-021-01344-8.pdf
[benchmark] nat_siblings 5/5 s41593-021-00923-4.pdf
[benchmark] done
